# x y z roll pitch yaw d_left d_right
0.000000 0.000000 0.000000 0.000000 0.000000 -0.652381 1.100000 1.100000
0.303821 -0.232119 0.000000 0.000000 0.000000 -0.652411 1.100000 1.100000
0.607637 -0.464244 0.000000 0.000000 0.000000 -0.652428 1.100000 1.100000
0.911449 -0.696372 0.000000 0.000000 0.000000 -0.652430 1.100000 1.100000
1.215263 -0.928498 0.000000 0.000000 0.000000 -0.652417 1.100000 1.100000
1.519081 -1.160619 0.000000 0.000000 0.000000 -0.652395 1.100000 1.100000
1.822906 -1.392731 0.000000 0.000000 0.000000 -0.652369 1.100000 1.100000
2.126737 -1.624837 0.000000 0.000000 0.000000 -0.652344 1.100000 1.100000
2.430574 -1.856935 0.000000 0.000000 0.000000 -0.652319 1.100000 1.100000
2.734417 -2.089026 0.000000 0.000000 0.000000 -0.652296 1.100000 1.100000
3.038266 -2.321111 0.000000 0.000000 0.000000 -0.652275 1.100000 1.100000
3.342120 -2.553189 0.000000 0.000000 0.000000 -0.652253 1.100000 1.100000
3.645979 -2.785261 0.000000 0.000000 0.000000 -0.652233 1.100000 1.100000
3.949843 -3.017328 0.000000 0.000000 0.000000 -0.652215 1.100000 1.100000
4.253712 -3.249390 0.000000 0.000000 0.000000 -0.652197 1.100000 1.100000
4.557585 -3.481446 0.000000 0.000000 0.000000 -0.652180 1.100000 1.100000
4.861462 -3.713498 0.000000 0.000000 0.000000 -0.652164 1.100000 1.100000
5.165343 -3.945545 0.000000 0.000000 0.000000 -0.652149 1.100000 1.100000
5.469227 -4.177588 0.000000 0.000000 0.000000 -0.652135 1.100000 1.100000
5.773115 -4.409627 0.000000 0.000000 0.000000 -0.652123 1.100000 1.100000
6.077006 -4.641663 0.000000 0.000000 0.000000 -0.652111 1.100000 1.100000
6.380900 -4.873696 0.000000 0.000000 0.000000 -0.652100 1.100000 1.100000
6.684796 -5.105725 0.000000 0.000000 0.000000 -0.652091 1.100000 1.100000
6.988695 -5.337752 0.000000 0.000000 0.000000 -0.652082 1.100000 1.100000
7.292596 -5.569777 0.000000 0.000000 0.000000 -0.652074 1.100000 1.100000
7.596499 -5.801800 0.000000 0.000000 0.000000 -0.652068 1.100000 1.100000
7.900403 -6.033821 0.000000 0.000000 0.000000 -0.652062 1.100000 1.100000
8.204309 -6.265841 0.000000 0.000000 0.000000 -0.652058 1.100000 1.100000
8.508216 -6.497859 0.000000 0.000000 0.000000 -0.652054 1.100000 1.100000
8.812123 -6.729877 0.000000 0.000000 0.000000 -0.652052 1.100000 1.100000
9.116032 -6.961894 0.000000 0.000000 0.000000 -0.652050 1.100000 1.100000
9.419940 -7.193912 0.000000 0.000000 0.000000 -0.652050 1.100000 1.100000
9.723849 -7.425929 0.000000 0.000000 0.000000 -0.652050 1.100000 1.100000
10.027757 -7.657947 0.000000 0.000000 0.000000 -0.652052 1.100000 1.100000
10.331666 -7.889965 0.000000 0.000000 0.000000 -0.652055 1.100000 1.100000
10.635573 -8.121984 0.000000 0.000000 0.000000 -0.652058 1.100000 1.100000
10.939480 -8.354005 0.000000 0.000000 0.000000 -0.652063 1.100000 1.100000
11.243385 -8.586028 0.000000 0.000000 0.000000 -0.652069 1.100000 1.100000
11.547289 -8.818052 0.000000 0.000000 0.000000 -0.652076 1.100000 1.100000
11.851192 -9.050079 0.000000 0.000000 0.000000 -0.652083 1.100000 1.100000
12.155093 -9.282108 0.000000 0.000000 0.000000 -0.652091 1.100000 1.100000
12.458992 -9.514140 0.000000 0.000000 0.000000 -0.652099 1.100000 1.100000
12.762889 -9.746174 0.000000 0.000000 0.000000 -0.652106 1.100000 1.100000
13.066784 -9.978210 0.000000 0.000000 0.000000 -0.652114 1.100000 1.100000
13.370678 -10.210248 0.000000 0.000000 0.000000 -0.652120 1.100000 1.100000
13.674570 -10.442289 0.000000 0.000000 0.000000 -0.652127 1.100000 1.100000
13.978461 -10.674331 0.000000 0.000000 0.000000 -0.652133 1.100000 1.100000
14.282351 -10.906375 0.000000 0.000000 0.000000 -0.652139 1.100000 1.100000
14.586239 -11.138421 0.000000 0.000000 0.000000 -0.652144 1.100000 1.100000
14.890126 -11.370468 0.000000 0.000000 0.000000 -0.652149 1.100000 1.100000
15.194012 -11.602517 0.000000 0.000000 0.000000 -0.652154 1.100000 1.100000
15.497897 -11.834567 0.000000 0.000000 0.000000 -0.652159 1.100000 1.100000
15.801780 -12.066619 0.000000 0.000000 0.000000 -0.652163 1.100000 1.100000
16.105663 -12.298672 0.000000 0.000000 0.000000 -0.652167 1.100000 1.100000
16.409545 -12.530726 0.000000 0.000000 0.000000 -0.652171 1.100000 1.100000
16.713426 -12.762781 0.000000 0.000000 0.000000 -0.652174 1.100000 1.100000
17.017306 -12.994837 0.000000 0.000000 0.000000 -0.652177 1.100000 1.100000
17.321186 -13.226893 0.000000 0.000000 0.000000 -0.652179 1.100000 1.100000
17.625065 -13.458951 0.000000 0.000000 0.000000 -0.652182 1.100000 1.100000
17.928943 -13.691009 0.000000 0.000000 0.000000 -0.652184 1.100000 1.100000
18.232821 -13.923068 0.000000 0.000000 0.000000 -0.652186 1.100000 1.100000
18.536698 -14.155127 0.000000 0.000000 0.000000 -0.652187 1.100000 1.100000
18.840575 -14.387186 0.000000 0.000000 0.000000 -0.652188 1.100000 1.100000
19.144452 -14.619245 0.000000 0.000000 0.000000 -0.652189 1.100000 1.100000
19.448329 -14.851305 0.000000 0.000000 0.000000 -0.652189 1.100000 1.100000
19.752205 -15.083365 0.000000 0.000000 0.000000 -0.652189 1.100000 1.100000
20.056081 -15.315424 0.000000 0.000000 0.000000 -0.652189 1.100000 1.100000
20.359958 -15.547484 0.000000 0.000000 0.000000 -0.652188 1.100000 1.100000
20.663834 -15.779543 0.000000 0.000000 0.000000 -0.652188 1.100000 1.100000
20.967711 -16.011602 0.000000 0.000000 0.000000 -0.652186 1.100000 1.100000
21.271588 -16.243660 0.000000 0.000000 0.000000 -0.652185 1.100000 1.100000
21.575465 -16.475717 0.000000 0.000000 0.000000 -0.652183 1.100000 1.100000
21.879342 -16.707774 0.000000 0.000000 0.000000 -0.652181 1.100000 1.100000
22.183220 -16.939831 0.000000 0.000000 0.000000 -0.652179 1.100000 1.100000
22.487098 -17.171886 0.000000 0.000000 0.000000 -0.652176 1.100000 1.100000
22.790977 -17.403940 0.000000 0.000000 0.000000 -0.652173 1.100000 1.100000
23.094856 -17.635993 0.000000 0.000000 0.000000 -0.652169 1.100000 1.100000
23.398736 -17.868045 0.000000 0.000000 0.000000 -0.652166 1.100000 1.100000
23.702617 -18.100096 0.000000 0.000000 0.000000 -0.652162 1.100000 1.100000
24.006499 -18.332146 0.000000 0.000000 0.000000 -0.652157 1.100000 1.100000
24.310381 -18.564193 0.000000 0.000000 0.000000 -0.652153 1.100000 1.100000
24.614265 -18.796240 0.000000 0.000000 0.000000 -0.652148 1.100000 1.100000
24.918149 -19.028284 0.000000 0.000000 0.000000 -0.652142 1.100000 1.100000
25.222035 -19.260327 0.000000 0.000000 0.000000 -0.652137 1.100000 1.100000
25.525921 -19.492368 0.000000 0.000000 0.000000 -0.652131 1.100000 1.100000
25.829809 -19.724407 0.000000 0.000000 0.000000 -0.652125 1.100000 1.100000
26.133699 -19.956444 0.000000 0.000000 0.000000 -0.652118 1.100000 1.100000
26.437589 -20.188478 0.000000 0.000000 0.000000 -0.652111 1.100000 1.100000
26.741481 -20.420510 0.000000 0.000000 0.000000 -0.652104 1.100000 1.100000
