# x y z roll pitch yaw d_left d_right
7.000000 0.000000 1.200000 0.000000 0.000000 1.570796 1.000000 1.000000
6.994603 0.157039 1.199653 0.000000 -0.004410 1.639446 1.000000 1.000000
6.978421 0.313836 1.198613 0.000000 -0.008771 1.707663 1.000000 1.000000
6.951479 0.470150 1.196881 0.000000 -0.013038 1.775034 1.000000 1.000000
6.913818 0.625738 1.194460 0.000000 -0.017169 1.841181 1.000000 1.000000
6.865497 0.780361 1.191353 0.000000 -0.021131 1.905774 1.000000 1.000000
6.806589 0.933781 1.187566 0.000000 -0.024895 1.968541 1.000000 1.000000
6.737187 1.085762 1.183105 0.000000 -0.028444 2.029271 1.000000 1.000000
6.657396 1.236068 1.177975 0.000000 -0.031765 2.087815 1.000000 1.000000
6.567339 1.384468 1.172186 0.000000 -0.034854 2.144079 1.000000 1.000000
6.467157 1.530734 1.165746 0.000000 -0.037711 2.198022 1.000000 1.000000
6.357002 1.674639 1.158664 0.000000 -0.040343 2.249646 1.000000 1.000000
6.237046 1.815962 1.150953 0.000000 -0.042758 2.298990 1.000000 1.000000
6.107472 1.954485 1.142623 0.000000 -0.044966 2.346118 1.000000 1.000000
5.968481 2.089994 1.133688 0.000000 -0.046982 2.391116 1.000000 1.000000
5.820287 2.222281 1.124161 0.000000 -0.048817 2.434086 1.000000 1.000000
5.663119 2.351141 1.114058 0.000000 -0.050487 2.475135 1.000000 1.000000
5.497219 2.476376 1.103393 0.000000 -0.052003 2.514380 1.000000 1.000000
5.322842 2.597792 1.092183 0.000000 -0.053379 2.551937 1.000000 1.000000
5.140258 2.715203 1.080445 0.000000 -0.054627 2.587921 1.000000 1.000000
4.949747 2.828427 1.068198 0.000000 -0.055758 2.622447 1.000000 1.000000
4.751605 2.937290 1.055460 0.000000 -0.056782 2.655622 1.000000 1.000000
4.546136 3.041624 1.042252 0.000000 -0.057708 2.687554 1.000000 1.000000
4.333658 3.141268 1.028592 0.000000 -0.058546 2.718341 1.000000 1.000000
4.114497 3.236068 1.014503 0.000000 -0.059303 2.748080 1.000000 1.000000
3.888992 3.325878 1.000007 0.000000 -0.059985 2.776859 1.000000 1.000000
3.657490 3.410561 0.985124 0.000000 -0.060599 2.804765 1.000000 1.000000
3.420349 3.489984 0.969880 0.000000 -0.061151 2.831876 1.000000 1.000000
3.177933 3.564026 0.954296 0.000000 -0.061645 2.858268 1.000000 1.000000
2.930618 3.632573 0.938397 0.000000 -0.062085 2.884012 1.000000 1.000000
2.678784 3.695518 0.922208 0.000000 -0.062476 2.909176 1.000000 1.000000
2.422819 3.752765 0.905753 0.000000 -0.062820 2.933824 1.000000 1.000000
2.163119 3.804226 0.889058 0.000000 -0.063122 2.958015 1.000000 1.000000
1.900083 3.849821 0.872148 0.000000 -0.063382 2.981807 1.000000 1.000000
1.634118 3.889480 0.855050 0.000000 -0.063603 3.005256 1.000000 1.000000
1.365632 3.923141 0.837791 0.000000 -0.063788 3.028414 1.000000 1.000000
1.095041 3.950753 0.820396 0.000000 -0.063937 3.051333 1.000000 1.000000
0.822762 3.972274 0.802892 0.000000 -0.064051 3.074062 1.000000 1.000000
0.549214 3.987669 0.785307 0.000000 -0.064133 3.096651 1.000000 1.000000
0.274819 3.996916 0.767667 0.000000 -0.064181 3.119145 1.000000 1.000000
0.000000 4.000000 0.750000 0.000000 -0.064197 3.141593 1.000000 1.000000
-0.274819 3.996916 0.732333 0.000000 -0.064181 -3.119145 1.000000 1.000000
-0.549214 3.987669 0.714693 0.000000 -0.064133 -3.096651 1.000000 1.000000
-0.822762 3.972274 0.697108 0.000000 -0.064051 -3.074062 1.000000 1.000000
-1.095041 3.950753 0.679604 0.000000 -0.063937 -3.051333 1.000000 1.000000
-1.365632 3.923141 0.662209 0.000000 -0.063788 -3.028414 1.000000 1.000000
-1.634118 3.889480 0.644950 0.000000 -0.063603 -3.005256 1.000000 1.000000
-1.900083 3.849821 0.627852 0.000000 -0.063382 -2.981807 1.000000 1.000000
-2.163119 3.804226 0.610942 0.000000 -0.063122 -2.958015 1.000000 1.000000
-2.422819 3.752765 0.594247 0.000000 -0.062820 -2.933824 1.000000 1.000000
-2.678784 3.695518 0.577792 0.000000 -0.062476 -2.909176 1.000000 1.000000
-2.930618 3.632573 0.561603 0.000000 -0.062085 -2.884012 1.000000 1.000000
-3.177933 3.564026 0.545704 0.000000 -0.061645 -2.858268 1.000000 1.000000
-3.420349 3.489984 0.530120 0.000000 -0.061151 -2.831876 1.000000 1.000000
