# x y z roll pitch yaw d_left d_right
7.000000 0.000000 1.300000 0.000000 -0.177891 -1.570796 1.000000 1.000000
6.995736 -5.388603 0.350000 0.000000 -0.178549 -1.574036 1.000000 1.000000
6.982948 -5.263968 0.350000 0.000000 0.000000 1.700018 1.000000 1.000000
6.961653 -5.126321 0.350000 0.000000 0.000000 1.746294 1.000000 1.000000
6.931876 -4.975950 0.350000 0.000000 0.000000 1.784648 1.000000 1.000000
6.893654 -4.813210 0.350000 0.000000 0.000000 1.817126 1.000000 1.000000
6.847033 -4.638515 0.350000 0.000000 0.000000 1.845194 1.000000 1.000000
6.792070 -4.452340 0.350000 0.000000 0.000000 1.869926 1.000000 1.000000
6.728832 -4.255220 0.350000 0.000000 0.000000 1.892123 1.000000 1.000000
6.657396 -4.047746 0.350000 0.000000 0.000000 1.912399 1.000000 1.000000
6.577848 -3.830562 0.350000 0.000000 0.000000 1.931228 1.000000 1.000000
6.490287 -3.604365 0.350000 0.000000 0.000000 1.948990 1.000000 1.000000
6.394818 -3.369899 0.350000 0.000000 0.000000 1.965990 1.000000 1.000000
6.291558 -3.127956 0.350000 0.000000 0.000000 1.982482 1.000000 1.000000
6.180633 -2.879366 0.350000 0.000000 0.000000 1.998683 1.000000 1.000000
6.062178 -2.625000 0.350000 0.000000 0.000000 2.014777 1.000000 1.000000
5.936337 -2.365763 0.350000 0.000000 0.000000 2.030930 1.000000 1.000000
5.803263 -2.102589 0.350000 0.000000 0.000000 2.047293 1.000000 1.000000
5.663119 -1.836441 0.350000 0.000000 0.000000 2.064003 1.000000 1.000000
5.516075 -1.568301 0.350000 0.000000 0.000000 2.081194 1.000000 1.000000
5.362311 -1.299170 0.350000 0.000000 0.000000 2.098994 1.000000 1.000000
5.202014 -1.030061 0.350000 0.000000 0.000000 2.117529 1.000000 1.000000
5.035379 -0.761999 0.350000 0.000000 0.000000 2.136929 1.000000 1.000000
4.862609 -0.496007 0.350000 0.000000 0.000000 2.157323 1.000000 1.000000
4.683914 -0.233112 0.350000 0.000000 0.000000 2.178847 1.000000 1.000000
4.499513 0.025666 0.350000 0.000000 0.000000 2.201642 1.000000 1.000000
4.309630 0.279317 0.350000 0.000000 0.000000 2.225855 1.000000 1.000000
4.114497 0.526848 0.350000 0.000000 0.000000 2.251642 1.000000 1.000000
3.914350 0.767281 0.350000 0.000000 0.000000 2.279167 1.000000 1.000000
3.709435 0.999665 0.350000 0.000000 0.000000 2.308600 1.000000 1.000000
3.500000 1.223076 0.350000 0.000000 0.000000 2.340123 1.000000 1.000000
3.286301 1.436623 0.350000 0.000000 0.000000 2.373918 1.000000 1.000000
3.068598 1.639451 0.350000 0.000000 0.000000 2.410173 1.000000 1.000000
2.847157 1.830746 0.350000 0.000000 0.000000 2.449073 1.000000 1.000000
2.622246 2.009736 0.350000 0.000000 0.000000 2.490795 1.000000 1.000000
2.394141 2.175700 0.350000 0.000000 0.000000 2.535499 1.000000 1.000000
2.163119 2.327966 0.350000 0.000000 0.000000 2.583314 1.000000 1.000000
1.929461 2.465917 0.350000 0.000000 0.000000 2.634329 1.000000 1.000000
1.693453 2.588993 0.350000 0.000000 0.000000 2.688572 1.000000 1.000000
1.455382 2.696693 0.350000 0.000000 0.000000 2.745994 1.000000 1.000000
1.215537 2.788578 0.350000 0.000000 0.000000 2.806453 1.000000 1.000000
0.974212 2.864274 0.350000 0.000000 0.000000 2.869698 1.000000 1.000000
0.731699 2.923472 0.350000 0.000000 0.000000 2.935363 1.000000 1.000000
0.488295 2.965929 0.350000 0.000000 0.000000 3.002968 1.000000 1.000000
0.244296 2.991474 0.350000 0.000000 0.000000 3.071931 1.000000 1.000000
0.000000 3.000000 0.350000 0.000000 0.000000 3.141593 1.000000 1.000000
-0.244296 2.991474 0.350000 0.000000 0.000000 -3.071931 1.000000 1.000000
-0.488295 2.965929 0.350000 0.000000 0.000000 -3.002968 1.000000 1.000000
-0.731699 2.923472 0.350000 0.000000 0.000000 -2.935363 1.000000 1.000000
-0.974212 2.864274 0.350000 0.000000 0.000000 -2.869698 1.000000 1.000000
-1.215537 2.788578 0.350000 0.000000 0.000000 -2.806453 1.000000 1.000000
-1.455382 2.696693 0.350000 0.000000 0.000000 -2.745994 1.000000 1.000000
-1.693453 2.588993 0.350000 0.000000 0.000000 -2.688572 1.000000 1.000000
-1.929461 2.465917 0.350000 0.000000 0.000000 -2.634329 1.000000 1.000000
-2.163119 2.327966 0.350000 0.000000 0.000000 -2.583314 1.000000 1.000000
-2.394141 2.175700 0.350000 0.000000 0.000000 -2.535499 1.000000 1.000000
-2.622246 2.009736 0.350000 0.000000 0.000000 -2.490795 1.000000 1.000000
-2.847157 1.830746 0.350000 0.000000 0.000000 -2.449073 1.000000 1.000000
-3.068598 1.639451 0.350000 0.000000 0.000000 -2.410173 1.000000 1.000000
-3.286301 1.436623 0.350000 0.000000 0.000000 -2.373918 1.000000 1.000000
-3.500000 1.223076 0.350000 0.000000 0.000000 -2.340123 1.000000 1.000000
-3.709435 0.999665 0.350000 0.000000 0.000000 -2.308600 1.000000 1.000000
-3.914350 0.767281 0.350000 0.000000 0.000000 -2.279167 1.000000 1.000000
-4.114497 0.526848 0.350000 0.000000 0.000000 -2.251642 1.000000 1.000000
-4.309630 0.279317 0.350000 0.000000 0.000000 -2.225855 1.000000 1.000000
-4.499513 0.025666 0.350000 0.000000 0.000000 -2.201642 1.000000 1.000000
-4.683914 -0.233112 0.350000 0.000000 0.000000 -2.178847 1.000000 1.000000
-4.862609 -0.496007 0.350000 0.000000 0.000000 -2.157323 1.000000 1.000000
-5.035379 -0.761999 0.350000 0.000000 0.000000 -2.136929 1.000000 1.000000
-5.202014 -1.030061 0.350000 0.000000 0.000000 -2.117529 1.000000 1.000000
-5.362311 -1.299170 0.350000 0.000000 0.000000 -2.098994 1.000000 1.000000
-5.516075 -1.568301 0.350000 0.000000 0.000000 -2.081194 1.000000 1.000000
-5.663119 -1.836441 0.350000 0.000000 0.000000 -2.064003 1.000000 1.000000
-5.803263 -2.102589 0.350000 0.000000 0.000000 -2.047293 1.000000 1.000000
-5.936337 -2.365763 0.350000 0.000000 0.000000 -2.030930 1.000000 1.000000
-6.062178 -2.625000 0.350000 0.000000 0.000000 -2.014777 1.000000 1.000000
-6.180633 -2.879366 0.350000 0.000000 0.000000 -1.998683 1.000000 1.000000
-6.291558 -3.127956 0.350000 0.000000 0.000000 -1.982482 1.000000 1.000000
-6.394818 -3.369899 0.350000 0.000000 0.000000 -1.965990 1.000000 1.000000
-6.490287 -3.604365 0.350000 0.000000 0.000000 -1.948990 1.000000 1.000000
-6.577848 -3.830562 0.350000 0.000000 0.000000 -1.931228 1.000000 1.000000
-6.657396 -4.047746 0.350000 0.000000 0.000000 -1.912399 1.000000 1.000000
-6.728832 -4.255220 0.350000 0.000000 0.000000 -1.892123 1.000000 1.000000
-6.792070 -4.452340 0.350000 0.000000 0.000000 -1.869926 1.000000 1.000000
-6.847033 -4.638515 0.350000 0.000000 0.000000 -1.845194 1.000000 1.000000
-6.893654 -4.813210 0.350000 0.000000 0.000000 -1.817126 1.000000 1.000000
-6.931876 -4.975950 0.350000 0.000000 0.000000 -1.784648 1.000000 1.000000
-6.961653 -5.126321 0.350000 0.000000 0.000000 -1.746294 1.000000 1.000000
-6.982948 -5.263968 0.350000 0.000000 0.000000 -1.700018 1.000000 1.000000
-6.995736 -5.388603 0.350000 0.000000 0.000000 -1.642914 1.000000 1.000000
-7.000000 -5.500000 0.350000 0.000000 0.177891 1.570796 1.000000 1.000000
-6.995736 -0.104698 1.300000 0.000000 0.177665 1.567573 1.000000 1.000000
-6.982948 -0.209269 1.300000 0.000000 0.000000 -1.409059 1.000000 1.000000
-6.961653 -0.313585 1.300000 0.000000 0.000000 -1.330300 1.000000 1.000000
-6.931876 -0.417519 1.300000 0.000000 0.000000 -1.253918 1.000000 1.000000
-6.893654 -0.520945 1.300000 0.000000 0.000000 -1.180476 1.000000 1.000000
-6.847033 -0.623735 1.300000 0.000000 0.000000 -1.110382 1.000000 1.000000
-6.792070 -0.725766 1.300000 0.000000 0.000000 -1.043893 1.000000 1.000000
-6.728832 -0.826912 1.300000 0.000000 0.000000 -0.981130 1.000000 1.000000
-6.657396 -0.927051 1.300000 0.000000 0.000000 -0.922102 1.000000 1.000000
-6.577848 -1.026060 1.300000 0.000000 0.000000 -0.866730 1.000000 1.000000
-6.490287 -1.123820 1.300000 0.000000 0.000000 -0.814870 1.000000 1.000000
-6.394818 -1.220210 1.300000 0.000000 0.000000 -0.766337 1.000000 1.000000
-6.291558 -1.315113 1.300000 0.000000 0.000000 -0.720923 1.000000 1.000000
-6.180633 -1.408415 1.300000 0.000000 0.000000 -0.678404 1.000000 1.000000
-6.062178 -1.500000 1.300000 0.000000 0.000000 -0.638560 1.000000 1.000000
-5.936337 -1.589758 1.300000 0.000000 0.000000 -0.601171 1.000000 1.000000
-5.803263 -1.677579 1.300000 0.000000 0.000000 -0.566031 1.000000 1.000000
-5.663119 -1.763356 1.300000 0.000000 0.000000 -0.532944 1.000000 1.000000
-5.516075 -1.846984 1.300000 0.000000 0.000000 -0.501727 1.000000 1.000000
-5.362311 -1.928363 1.300000 0.000000 0.000000 -0.472212 1.000000 1.000000
-5.202014 -2.007392 1.300000 0.000000 0.000000 -0.444245 1.000000 1.000000
-5.035379 -2.083975 1.300000 0.000000 0.000000 -0.417685 1.000000 1.000000
-4.862609 -2.158019 1.300000 0.000000 0.000000 -0.392403 1.000000 1.000000
-4.683914 -2.229434 1.300000 0.000000 0.000000 -0.368281 1.000000 1.000000
-4.499513 -2.298133 1.300000 0.000000 0.000000 -0.345214 1.000000 1.000000
-4.309630 -2.364032 1.300000 0.000000 0.000000 -0.323103 1.000000 1.000000
-4.114497 -2.427051 1.300000 0.000000 0.000000 -0.301860 1.000000 1.000000
-3.914350 -2.487113 1.300000 0.000000 0.000000 -0.281404 1.000000 1.000000
-3.709435 -2.544144 1.300000 0.000000 0.000000 -0.261661 1.000000 1.000000
-3.500000 -2.598076 1.300000 0.000000 0.000000 -0.242564 1.000000 1.000000
-3.286301 -2.648843 1.300000 0.000000 0.000000 -0.224050 1.000000 1.000000
-3.068598 -2.696382 1.300000 0.000000 0.000000 -0.206061 1.000000 1.000000
-2.847157 -2.740636 1.300000 0.000000 0.000000 -0.188546 1.000000 1.000000
-2.622246 -2.781552 1.300000 0.000000 0.000000 -0.171454 1.000000 1.000000
-2.394141 -2.819078 1.300000 0.000000 0.000000 -0.154740 1.000000 1.000000
-2.163119 -2.853170 1.300000 0.000000 0.000000 -0.138362 1.000000 1.000000
-1.929461 -2.883785 1.300000 0.000000 0.000000 -0.122278 1.000000 1.000000
-1.693453 -2.910887 1.300000 0.000000 0.000000 -0.106451 1.000000 1.000000
-1.455382 -2.934443 1.300000 0.000000 0.000000 -0.090845 1.000000 1.000000
-1.215537 -2.954423 1.300000 0.000000 0.000000 -0.075425 1.000000 1.000000
-0.974212 -2.970804 1.300000 0.000000 0.000000 -0.060159 1.000000 1.000000
-0.731699 -2.983566 1.300000 0.000000 0.000000 -0.045014 1.000000 1.000000
-0.488295 -2.992692 1.300000 0.000000 0.000000 -0.029960 1.000000 1.000000
-0.244296 -2.998172 1.300000 0.000000 0.000000 -0.014965 1.000000 1.000000
-0.000000 -3.000000 1.300000 0.000000 0.000000 0.000000 1.000000 1.000000
0.244296 -2.998172 1.300000 0.000000 0.000000 0.014965 1.000000 1.000000
0.488295 -2.992692 1.300000 0.000000 0.000000 0.029960 1.000000 1.000000
0.731699 -2.983566 1.300000 0.000000 0.000000 0.045014 1.000000 1.000000
0.974212 -2.970804 1.300000 0.000000 0.000000 0.060159 1.000000 1.000000
1.215537 -2.954423 1.300000 0.000000 0.000000 0.075425 1.000000 1.000000
1.455382 -2.934443 1.300000 0.000000 0.000000 0.090845 1.000000 1.000000
1.693453 -2.910887 1.300000 0.000000 0.000000 0.106451 1.000000 1.000000
1.929461 -2.883785 1.300000 0.000000 0.000000 0.122278 1.000000 1.000000
2.163119 -2.853170 1.300000 0.000000 0.000000 0.138362 1.000000 1.000000
2.394141 -2.819078 1.300000 0.000000 0.000000 0.154740 1.000000 1.000000
2.622246 -2.781552 1.300000 0.000000 0.000000 0.171454 1.000000 1.000000
2.847157 -2.740636 1.300000 0.000000 0.000000 0.188546 1.000000 1.000000
3.068598 -2.696382 1.300000 0.000000 0.000000 0.206061 1.000000 1.000000
3.286301 -2.648843 1.300000 0.000000 0.000000 0.224050 1.000000 1.000000
3.500000 -2.598076 1.300000 0.000000 0.000000 0.242564 1.000000 1.000000
3.709435 -2.544144 1.300000 0.000000 0.000000 0.261661 1.000000 1.000000
3.914350 -2.487113 1.300000 0.000000 0.000000 0.281404 1.000000 1.000000
4.114497 -2.427051 1.300000 0.000000 0.000000 0.301860 1.000000 1.000000
4.309630 -2.364032 1.300000 0.000000 0.000000 0.323103 1.000000 1.000000
4.499513 -2.298133 1.300000 0.000000 0.000000 0.345214 1.000000 1.000000
4.683914 -2.229434 1.300000 0.000000 0.000000 0.368281 1.000000 1.000000
4.862609 -2.158019 1.300000 0.000000 0.000000 0.392403 1.000000 1.000000
5.035379 -2.083975 1.300000 0.000000 0.000000 0.417685 1.000000 1.000000
5.202014 -2.007392 1.300000 0.000000 0.000000 0.444245 1.000000 1.000000
5.362311 -1.928363 1.300000 0.000000 0.000000 0.472212 1.000000 1.000000
5.516075 -1.846984 1.300000 0.000000 0.000000 0.501727 1.000000 1.000000
5.663119 -1.763356 1.300000 0.000000 0.000000 0.532944 1.000000 1.000000
5.803263 -1.677579 1.300000 0.000000 0.000000 0.566031 1.000000 1.000000
5.936337 -1.589758 1.300000 0.000000 0.000000 0.601171 1.000000 1.000000
6.062178 -1.500000 1.300000 0.000000 0.000000 0.638560 1.000000 1.000000
6.180633 -1.408415 1.300000 0.000000 0.000000 0.678404 1.000000 1.000000
