# x y z roll pitch yaw d_left d_right
6.000000 0.000000 0.900000 0.000000 0.197396 1.570796 1.000000 1.000000
5.995374 0.235377 0.947075 0.000000 0.197246 1.610188 1.000000 1.000000
5.981504 0.469303 0.993861 0.000000 0.196791 1.650128 1.000000 1.000000
5.958411 0.700336 1.040067 0.000000 0.196003 1.691182 1.000000 1.000000
5.926130 0.927051 1.085410 0.000000 0.194841 1.733945 1.000000 1.000000
5.884712 1.148050 1.129610 0.000000 0.193237 1.779059 1.000000 1.000000
5.834220 1.361971 1.172394 0.000000 0.191100 1.827228 1.000000 1.000000
5.774731 1.567496 1.213499 0.000000 0.188305 1.879227 1.000000 1.000000
5.706339 1.763356 1.252671 0.000000 0.184687 1.935917 1.000000 1.000000
5.629148 1.948344 1.289669 0.000000 0.180035 1.998236 1.000000 1.000000
5.543277 2.121320 1.324264 0.000000 0.174082 2.067178 1.000000 1.000000
5.448859 2.281218 1.356244 0.000000 0.166505 2.143745 1.000000 1.000000
5.346039 2.427051 1.385410 0.000000 0.156937 2.228837 1.000000 1.000000
5.234976 2.557920 1.411584 0.000000 0.145000 2.323087 1.000000 1.000000
5.115841 2.673020 1.434604 0.000000 0.130376 2.426619 1.000000 1.000000
4.988818 2.771639 1.454328 0.000000 0.112911 2.538775 1.000000 1.000000
4.854102 2.853170 1.470634 0.000000 0.092745 2.657890 1.000000 1.000000
4.711902 2.917110 1.483422 0.000000 0.070401 2.781258 1.000000 1.000000
4.562436 2.963065 1.492613 0.000000 0.046767 2.905398 1.000000 1.000000
4.405935 2.990752 1.498150 0.000000 0.022943 3.026606 1.000000 1.000000
4.242641 3.000000 1.500000 0.000000 0.000000 3.141593 1.000000 1.000000
4.072804 2.990752 1.498150 0.000000 -0.021229 -3.035232 1.000000 1.000000
3.896688 2.963065 1.492613 0.000000 -0.040249 -2.938851 1.000000 1.000000
3.714564 2.917110 1.483422 0.000000 -0.056886 -2.852860 1.000000 1.000000
3.526712 2.853170 1.470634 0.000000 -0.071196 -2.776986 1.000000 1.000000
3.333421 2.771639 1.454328 0.000000 -0.083372 -2.710541 1.000000 1.000000
3.134991 2.673020 1.434604 0.000000 -0.093665 -2.652641 1.000000 1.000000
2.931727 2.557920 1.411584 0.000000 -0.102338 -2.602355 1.000000 1.000000
2.723943 2.427051 1.385410 0.000000 -0.109631 -2.558792 1.000000 1.000000
2.511958 2.281218 1.356244 0.000000 -0.115760 -2.521144 1.000000 1.000000
2.296101 2.121320 1.324264 0.000000 -0.120905 -2.488701 1.000000 1.000000
2.076702 1.948344 1.289669 0.000000 -0.125214 -2.460858 1.000000 1.000000
1.854102 1.763356 1.252671 0.000000 -0.128812 -2.437101 1.000000 1.000000
1.628643 1.567496 1.213499 0.000000 -0.131797 -2.417005 1.000000 1.000000
1.400672 1.361971 1.172394 0.000000 -0.134249 -2.400215 1.000000 1.000000
1.170542 1.148050 1.129610 0.000000 -0.136230 -2.386448 1.000000 1.000000
0.938607 0.927051 1.085410 0.000000 -0.137790 -2.375472 1.000000 1.000000
0.705224 0.700336 1.040067 0.000000 -0.138968 -2.367111 1.000000 1.000000
0.470755 0.469303 0.993861 0.000000 -0.139790 -2.361230 1.000000 1.000000
0.235559 0.235377 0.947075 0.000000 -0.140275 -2.357738 1.000000 1.000000
0.000000 0.000000 0.900000 0.000000 -0.140436 -2.356580 1.000000 1.000000
-0.235559 -0.235377 0.852925 0.000000 -0.140275 -2.357738 1.000000 1.000000
-0.470755 -0.469303 0.806139 0.000000 -0.139790 -2.361230 1.000000 1.000000
-0.705224 -0.700336 0.759933 0.000000 -0.138968 -2.367111 1.000000 1.000000
-0.938607 -0.927051 0.714590 0.000000 -0.137790 -2.375472 1.000000 1.000000
-1.170542 -1.148050 0.670390 0.000000 -0.136230 -2.386448 1.000000 1.000000
-1.400672 -1.361971 0.627606 0.000000 -0.134249 -2.400215 1.000000 1.000000
-1.628643 -1.567496 0.586501 0.000000 -0.131797 -2.417005 1.000000 1.000000
-1.854102 -1.763356 0.547329 0.000000 -0.128812 -2.437101 1.000000 1.000000
-2.076702 -1.948344 0.510331 0.000000 -0.125214 -2.460858 1.000000 1.000000
-2.296101 -2.121320 0.475736 0.000000 -0.120905 -2.488701 1.000000 1.000000
-2.511958 -2.281218 0.443756 0.000000 -0.115760 -2.521144 1.000000 1.000000
-2.723943 -2.427051 0.414590 0.000000 -0.109631 -2.558792 1.000000 1.000000
-2.931727 -2.557920 0.388416 0.000000 -0.102338 -2.602355 1.000000 1.000000
-3.134991 -2.673020 0.365396 0.000000 -0.093665 -2.652641 1.000000 1.000000
-3.333421 -2.771639 0.345672 0.000000 -0.083372 -2.710541 1.000000 1.000000
-3.526712 -2.853170 0.329366 0.000000 -0.071196 -2.776986 1.000000 1.000000
-3.714564 -2.917110 0.316578 0.000000 -0.056886 -2.852860 1.000000 1.000000
-3.896688 -2.963065 0.307387 0.000000 -0.040249 -2.938851 1.000000 1.000000
-4.072804 -2.990752 0.301850 0.000000 -0.021229 -3.035232 1.000000 1.000000
-4.242641 -3.000000 0.300000 0.000000 0.000000 3.141593 1.000000 1.000000
-4.405935 -2.990752 0.301850 0.000000 0.022943 3.026606 1.000000 1.000000
-4.562436 -2.963065 0.307387 0.000000 0.046767 2.905398 1.000000 1.000000
-4.711902 -2.917110 0.316578 0.000000 0.070401 2.781258 1.000000 1.000000
-4.854102 -2.853170 0.329366 0.000000 0.092745 2.657890 1.000000 1.000000
-4.988818 -2.771639 0.345672 0.000000 0.112911 2.538775 1.000000 1.000000
-5.115841 -2.673020 0.365396 0.000000 0.130376 2.426619 1.000000 1.000000
-5.234976 -2.557920 0.388416 0.000000 0.145000 2.323087 1.000000 1.000000
-5.346039 -2.427051 0.414590 0.000000 0.156937 2.228837 1.000000 1.000000
-5.448859 -2.281218 0.443756 0.000000 0.166505 2.143745 1.000000 1.000000
-5.543277 -2.121320 0.475736 0.000000 0.174082 2.067178 1.000000 1.000000
-5.629148 -1.948344 0.510331 0.000000 0.180035 1.998236 1.000000 1.000000
-5.706339 -1.763356 0.547329 0.000000 0.184687 1.935917 1.000000 1.000000
-5.774731 -1.567496 0.586501 0.000000 0.188305 1.879227 1.000000 1.000000
-5.834220 -1.361971 0.627606 0.000000 0.191100 1.827228 1.000000 1.000000
-5.884712 -1.148050 0.670390 0.000000 0.193237 1.779059 1.000000 1.000000
-5.926130 -0.927051 0.714590 0.000000 0.194841 1.733945 1.000000 1.000000
-5.958411 -0.700336 0.759933 0.000000 0.196003 1.691182 1.000000 1.000000
-5.981504 -0.469303 0.806139 0.000000 0.196791 1.650128 1.000000 1.000000
-5.995374 -0.235377 0.852925 0.000000 0.197246 1.610188 1.000000 1.000000
-6.000000 -0.000000 0.900000 0.000000 0.197396 1.570796 1.000000 1.000000
-5.995374 0.235377 0.947075 0.000000 0.197246 1.531405 1.000000 1.000000
-5.981504 0.469303 0.993861 0.000000 0.196791 1.491465 1.000000 1.000000
-5.958411 0.700336 1.040067 0.000000 0.196003 1.450411 1.000000 1.000000
-5.926130 0.927051 1.085410 0.000000 0.194841 1.407648 1.000000 1.000000
-5.884712 1.148050 1.129610 0.000000 0.193237 1.362533 1.000000 1.000000
-5.834220 1.361971 1.172394 0.000000 0.191100 1.314365 1.000000 1.000000
-5.774731 1.567496 1.213499 0.000000 0.188305 1.262365 1.000000 1.000000
-5.706339 1.763356 1.252671 0.000000 0.184687 1.205675 1.000000 1.000000
-5.629148 1.948344 1.289669 0.000000 0.180035 1.143357 1.000000 1.000000
-5.543277 2.121320 1.324264 0.000000 0.174082 1.074415 1.000000 1.000000
-5.448859 2.281218 1.356244 0.000000 0.166505 0.997848 1.000000 1.000000
-5.346039 2.427051 1.385410 0.000000 0.156937 0.912755 1.000000 1.000000
-5.234976 2.557920 1.411584 0.000000 0.145000 0.818506 1.000000 1.000000
-5.115841 2.673020 1.434604 0.000000 0.130376 0.714974 1.000000 1.000000
-4.988818 2.771639 1.454328 0.000000 0.112911 0.602817 1.000000 1.000000
-4.854102 2.853170 1.470634 0.000000 0.092745 0.483702 1.000000 1.000000
-4.711902 2.917110 1.483422 0.000000 0.070401 0.360335 1.000000 1.000000
-4.562436 2.963065 1.492613 0.000000 0.046767 0.236195 1.000000 1.000000
-4.405935 2.990752 1.498150 0.000000 0.022943 0.114986 1.000000 1.000000
-4.242641 3.000000 1.500000 0.000000 0.000000 0.000000 1.000000 1.000000
-4.072804 2.990752 1.498150 0.000000 -0.021229 -0.106360 1.000000 1.000000
-3.896688 2.963065 1.492613 0.000000 -0.040249 -0.202742 1.000000 1.000000
-3.714564 2.917110 1.483422 0.000000 -0.056886 -0.288733 1.000000 1.000000
-3.526712 2.853170 1.470634 0.000000 -0.071196 -0.364607 1.000000 1.000000
-3.333421 2.771639 1.454328 0.000000 -0.083372 -0.431052 1.000000 1.000000
-3.134991 2.673020 1.434604 0.000000 -0.093665 -0.488952 1.000000 1.000000
-2.931727 2.557920 1.411584 0.000000 -0.102338 -0.539237 1.000000 1.000000
-2.723943 2.427051 1.385410 0.000000 -0.109631 -0.582800 1.000000 1.000000
-2.511958 2.281218 1.356244 0.000000 -0.115760 -0.620449 1.000000 1.000000
-2.296101 2.121320 1.324264 0.000000 -0.120905 -0.652891 1.000000 1.000000
-2.076702 1.948344 1.289669 0.000000 -0.125214 -0.680735 1.000000 1.000000
-1.854102 1.763356 1.252671 0.000000 -0.128812 -0.704491 1.000000 1.000000
-1.628643 1.567496 1.213499 0.000000 -0.131797 -0.724588 1.000000 1.000000
-1.400672 1.361971 1.172394 0.000000 -0.134249 -0.741377 1.000000 1.000000
-1.170542 1.148050 1.129610 0.000000 -0.136230 -0.755145 1.000000 1.000000
-0.938607 0.927051 1.085410 0.000000 -0.137790 -0.766120 1.000000 1.000000
-0.705224 0.700336 1.040067 0.000000 -0.138968 -0.774482 1.000000 1.000000
-0.470755 0.469303 0.993861 0.000000 -0.139790 -0.780362 1.000000 1.000000
-0.235559 0.235377 0.947075 0.000000 -0.140275 -0.783854 1.000000 1.000000
-0.000000 0.000000 0.900000 0.000000 -0.140436 -0.785013 1.000000 1.000000
0.235559 -0.235377 0.852925 0.000000 -0.140275 -0.783854 1.000000 1.000000
0.470755 -0.469303 0.806139 0.000000 -0.139790 -0.780362 1.000000 1.000000
0.705224 -0.700336 0.759933 0.000000 -0.138968 -0.774482 1.000000 1.000000
0.938607 -0.927051 0.714590 0.000000 -0.137790 -0.766120 1.000000 1.000000
1.170542 -1.148050 0.670390 0.000000 -0.136230 -0.755145 1.000000 1.000000
1.400672 -1.361971 0.627606 0.000000 -0.134249 -0.741377 1.000000 1.000000
1.628643 -1.567496 0.586501 0.000000 -0.131797 -0.724588 1.000000 1.000000
1.854102 -1.763356 0.547329 0.000000 -0.128812 -0.704491 1.000000 1.000000
2.076702 -1.948344 0.510331 0.000000 -0.125214 -0.680735 1.000000 1.000000
2.296101 -2.121320 0.475736 0.000000 -0.120905 -0.652891 1.000000 1.000000
2.511958 -2.281218 0.443756 0.000000 -0.115760 -0.620449 1.000000 1.000000
2.723943 -2.427051 0.414590 0.000000 -0.109631 -0.582800 1.000000 1.000000
2.931727 -2.557920 0.388416 0.000000 -0.102338 -0.539237 1.000000 1.000000
3.134991 -2.673020 0.365396 0.000000 -0.093665 -0.488952 1.000000 1.000000
3.333421 -2.771639 0.345672 0.000000 -0.083372 -0.431052 1.000000 1.000000
3.526712 -2.853170 0.329366 0.000000 -0.071196 -0.364607 1.000000 1.000000
3.714564 -2.917110 0.316578 0.000000 -0.056886 -0.288733 1.000000 1.000000
3.896688 -2.963065 0.307387 0.000000 -0.040249 -0.202742 1.000000 1.000000
4.072804 -2.990752 0.301850 0.000000 -0.021229 -0.106360 1.000000 1.000000
4.242641 -3.000000 0.300000 0.000000 -0.000000 -0.000000 1.000000 1.000000
4.405935 -2.990752 0.301850 0.000000 0.022943 0.114986 1.000000 1.000000
4.562436 -2.963065 0.307387 0.000000 0.046767 0.236195 1.000000 1.000000
4.711902 -2.917110 0.316578 0.000000 0.070401 0.360335 1.000000 1.000000
4.854102 -2.853170 0.329366 0.000000 0.092745 0.483702 1.000000 1.000000
4.988818 -2.771639 0.345672 0.000000 0.112911 0.602817 1.000000 1.000000
5.115841 -2.673020 0.365396 0.000000 0.130376 0.714974 1.000000 1.000000
5.234976 -2.557920 0.388416 0.000000 0.145000 0.818506 1.000000 1.000000
5.346039 -2.427051 0.414590 0.000000 0.156937 0.912755 1.000000 1.000000
5.448859 -2.281218 0.443756 0.000000 0.166505 0.997848 1.000000 1.000000
5.543277 -2.121320 0.475736 0.000000 0.174082 1.074415 1.000000 1.000000
5.629148 -1.948344 0.510331 0.000000 0.180035 1.143357 1.000000 1.000000
5.706339 -1.763356 0.547329 0.000000 0.184687 1.205675 1.000000 1.000000
5.774731 -1.567496 0.586501 0.000000 0.188305 1.262365 1.000000 1.000000
