# x y z roll pitch yaw d_left d_right
5.000000 0.000000 0.300000 0.139626 -0.000000 1.570796 1.000000 1.000000
4.990134 0.313953 0.323561 0.139626 0.074897 1.633628 1.000000 1.000000
4.960574 0.626666 0.347116 0.139626 0.074869 1.696460 1.000000 1.000000
4.911436 0.936907 0.370660 0.139626 0.074823 1.759292 1.000000 1.000000
4.842916 1.243449 0.394186 0.139626 0.074759 1.822124 1.000000 1.000000
4.755283 1.545085 0.417689 0.139626 0.074676 1.884956 1.000000 1.000000
4.648882 1.840623 0.441162 0.139626 0.074575 1.947787 1.000000 1.000000
4.524135 2.128896 0.464601 0.139626 0.074455 2.010619 1.000000 1.000000
4.381533 2.408768 0.488000 0.139626 0.074317 2.073451 1.000000 1.000000
4.221640 2.679134 0.511352 0.139626 0.074161 2.136283 1.000000 1.000000
4.045085 2.938926 0.534652 0.139626 0.073987 2.199115 1.000000 1.000000
3.852566 3.187120 0.557894 0.139626 0.073795 2.261947 1.000000 1.000000
3.644843 3.422736 0.581072 0.139626 0.073584 2.324779 1.000000 1.000000
3.422736 3.644843 0.604181 0.139626 0.073355 2.387610 1.000000 1.000000
3.187120 3.852566 0.627215 0.139626 0.073108 2.450442 1.000000 1.000000
2.938926 4.045085 0.650168 0.139626 0.072844 2.513274 1.000000 1.000000
2.679134 4.221640 0.673035 0.139626 0.072561 2.576106 1.000000 1.000000
2.408768 4.381533 0.695810 0.139626 0.072260 2.638938 1.000000 1.000000
2.128896 4.524135 0.718487 0.139626 0.071942 2.701770 1.000000 1.000000
1.840623 4.648882 0.741060 0.139626 0.071606 2.764602 1.000000 1.000000
1.545085 4.755283 0.763525 0.139626 0.071252 2.827433 1.000000 1.000000
1.243449 4.842916 0.785876 0.139626 0.070881 2.890265 1.000000 1.000000
0.936907 4.911436 0.808107 0.139626 0.070493 2.953097 1.000000 1.000000
0.626666 4.960574 0.830212 0.139626 0.070087 3.015929 1.000000 1.000000
0.313953 4.990134 0.852187 0.139626 0.069663 3.078761 1.000000 1.000000
-0.000000 5.000000 0.874025 0.139626 0.069223 3.141593 1.000000 1.000000
-0.313953 4.990134 0.895722 0.139626 0.068765 -3.078761 1.000000 1.000000
-0.626666 4.960574 0.917272 0.139626 0.068291 -3.015929 1.000000 1.000000
-0.936907 4.911436 0.938669 0.139626 0.067800 -2.953097 1.000000 1.000000
-1.243449 4.842916 0.959909 0.139626 0.067292 -2.890265 1.000000 1.000000
-1.545085 4.755283 0.980986 0.139626 0.066767 -2.827433 1.000000 1.000000
-1.840623 4.648882 1.001895 0.139626 0.066226 -2.764602 1.000000 1.000000
-2.128896 4.524135 1.022631 0.139626 0.065669 -2.701770 1.000000 1.000000
-2.408768 4.381533 1.043188 0.139626 0.065095 -2.638938 1.000000 1.000000
-2.679134 4.221640 1.063562 0.139626 0.064506 -2.576106 1.000000 1.000000
-2.938926 4.045085 1.083748 0.139626 0.063900 -2.513274 1.000000 1.000000
-3.187120 3.852566 1.103740 0.139626 0.063279 -2.450442 1.000000 1.000000
-3.422736 3.644843 1.123534 0.139626 0.062642 -2.387610 1.000000 1.000000
-3.644843 3.422736 1.143125 0.139626 0.061990 -2.324779 1.000000 1.000000
-3.852566 3.187120 1.162508 0.139626 0.061322 -2.261947 1.000000 1.000000
-4.045085 2.938926 1.181678 0.139626 0.060639 -2.199115 1.000000 1.000000
-4.221640 2.679134 1.200630 0.139626 0.059941 -2.136283 1.000000 1.000000
-4.381533 2.408768 1.219361 0.139626 0.059229 -2.073451 1.000000 1.000000
-4.524135 2.128896 1.237864 0.139626 0.058502 -2.010619 1.000000 1.000000
-4.648882 1.840623 1.256136 0.139626 0.057760 -1.947787 1.000000 1.000000
-4.755283 1.545085 1.274172 0.139626 0.057004 -1.884956 1.000000 1.000000
-4.842916 1.243449 1.291968 0.139626 0.056234 -1.822124 1.000000 1.000000
-4.911436 0.936907 1.309519 0.139626 0.055450 -1.759292 1.000000 1.000000
-4.960574 0.626666 1.326821 0.139626 0.054652 -1.696460 1.000000 1.000000
-4.990134 0.313953 1.343869 0.139626 0.053841 -1.633628 1.000000 1.000000
-5.000000 -0.000000 1.360660 0.139626 0.053016 -1.570796 1.000000 1.000000
-4.990134 -0.313953 1.377189 0.139626 0.052178 -1.507964 1.000000 1.000000
-4.960574 -0.626666 1.393453 0.139626 0.051328 -1.445133 1.000000 1.000000
-4.911436 -0.936907 1.409447 0.139626 0.050464 -1.382301 1.000000 1.000000
-4.842916 -1.243449 1.425167 0.139626 0.049588 -1.319469 1.000000 1.000000
-4.755283 -1.545085 1.440609 0.139626 0.048700 -1.256637 1.000000 1.000000
-4.648882 -1.840623 1.455770 0.139626 0.047800 -1.193805 1.000000 1.000000
-4.524135 -2.128896 1.470646 0.139626 0.046888 -1.130973 1.000000 1.000000
-4.381533 -2.408768 1.485233 0.139626 0.045964 -1.068142 1.000000 1.000000
-4.221640 -2.679134 1.499527 0.139626 0.045029 -1.005310 1.000000 1.000000
-4.045085 -2.938926 1.513525 0.139626 0.044083 -0.942478 1.000000 1.000000
-3.852566 -3.187120 1.527225 0.139626 0.043125 -0.879646 1.000000 1.000000
-3.644843 -3.422736 1.540621 0.139626 0.042157 -0.816814 1.000000 1.000000
-3.422736 -3.644843 1.553711 0.139626 0.041179 -0.753982 1.000000 1.000000
-3.187120 -3.852566 1.566492 0.139626 0.040190 -0.691150 1.000000 1.000000
-2.938926 -4.045085 1.578960 0.139626 0.039191 -0.628319 1.000000 1.000000
-2.679134 -4.221640 1.591113 0.139626 0.038183 -0.565487 1.000000 1.000000
-2.408768 -4.381533 1.602947 0.139626 0.037165 -0.502655 1.000000 1.000000
-2.128896 -4.524135 1.614460 0.139626 0.036138 -0.439823 1.000000 1.000000
-1.840623 -4.648882 1.625648 0.139626 0.035102 -0.376991 1.000000 1.000000
-1.545085 -4.755283 1.636510 0.139626 0.034057 -0.314159 1.000000 1.000000
-1.243449 -4.842916 1.647041 0.139626 0.033004 -0.251327 1.000000 1.000000
-0.936907 -4.911436 1.657241 0.139626 0.031942 -0.188496 1.000000 1.000000
-0.626666 -4.960574 1.667105 0.139626 0.030873 -0.125664 1.000000 1.000000
-0.313953 -4.990134 1.676632 0.139626 0.029796 -0.062832 1.000000 1.000000
-0.000000 -5.000000 1.685819 0.139626 0.028711 0.000000 1.000000 1.000000
0.313953 -4.990134 1.694665 0.139626 0.027619 0.062832 1.000000 1.000000
0.626666 -4.960574 1.703166 0.139626 0.026521 0.125664 1.000000 1.000000
0.936907 -4.911436 1.711321 0.139626 0.025416 0.188496 1.000000 1.000000
1.243449 -4.842916 1.719128 0.139626 0.024304 0.251327 1.000000 1.000000
1.545085 -4.755283 1.726585 0.139626 0.023186 0.314159 1.000000 1.000000
1.840623 -4.648882 1.733690 0.139626 0.022063 0.376991 1.000000 1.000000
2.128896 -4.524135 1.740441 0.139626 0.020934 0.439823 1.000000 1.000000
2.408768 -4.381533 1.746836 0.139626 0.019800 0.502655 1.000000 1.000000
2.679134 -4.221640 1.752875 0.139626 0.018661 0.565487 1.000000 1.000000
2.938926 -4.045085 1.758555 0.139626 0.017517 0.628319 1.000000 1.000000
3.187120 -3.852566 1.763875 0.139626 0.016369 0.691150 1.000000 1.000000
3.422736 -3.644843 1.768834 0.139626 0.015217 0.753982 1.000000 1.000000
3.644843 -3.422736 1.773431 0.139626 0.014061 0.816814 1.000000 1.000000
3.852566 -3.187120 1.777664 0.139626 0.012902 0.879646 1.000000 1.000000
4.045085 -2.938926 1.781533 0.139626 0.011739 0.942478 1.000000 1.000000
4.221640 -2.679134 1.785035 0.139626 0.010574 1.005310 1.000000 1.000000
4.381533 -2.408768 1.788172 0.139626 0.009406 1.068142 1.000000 1.000000
4.524135 -2.128896 1.790941 0.139626 0.008235 1.130973 1.000000 1.000000
4.648882 -1.840623 1.793343 0.139626 0.007062 1.193805 1.000000 1.000000
4.755283 -1.545085 1.795376 0.139626 0.005888 1.256637 1.000000 1.000000
4.842916 -1.243449 1.797040 0.139626 0.004712 1.319469 1.000000 1.000000
4.911436 -0.936907 1.798335 0.139626 0.003535 1.382301 1.000000 1.000000
4.960574 -0.626666 1.799260 0.139626 0.002357 1.445133 1.000000 1.000000
4.990134 -0.313953 1.799815 0.139626 0.001179 1.507964 1.000000 1.000000
5.000000 0.000000 1.800000 0.139626 0.000000 1.570796 1.000000 1.000000
4.990134 0.313953 1.799815 0.139626 -0.001179 1.633628 1.000000 1.000000
4.960574 0.626666 1.799260 0.139626 -0.002357 1.696460 1.000000 1.000000
4.911436 0.936907 1.798335 0.139626 -0.003535 1.759292 1.000000 1.000000
4.842916 1.243449 1.797040 0.139626 -0.004712 1.822124 1.000000 1.000000
4.755283 1.545085 1.795376 0.139626 -0.005888 1.884956 1.000000 1.000000
4.648882 1.840623 1.793343 0.139626 -0.007062 1.947787 1.000000 1.000000
4.524135 2.128896 1.790941 0.139626 -0.008235 2.010619 1.000000 1.000000
4.381533 2.408768 1.788172 0.139626 -0.009406 2.073451 1.000000 1.000000
4.221640 2.679134 1.785035 0.139626 -0.010574 2.136283 1.000000 1.000000
4.045085 2.938926 1.781533 0.139626 -0.011739 2.199115 1.000000 1.000000
3.852566 3.187120 1.777664 0.139626 -0.012902 2.261947 1.000000 1.000000
3.644843 3.422736 1.773431 0.139626 -0.014061 2.324779 1.000000 1.000000
3.422736 3.644843 1.768834 0.139626 -0.015217 2.387610 1.000000 1.000000
3.187120 3.852566 1.763875 0.139626 -0.016369 2.450442 1.000000 1.000000
2.938926 4.045085 1.758555 0.139626 -0.017517 2.513274 1.000000 1.000000
2.679134 4.221640 1.752875 0.139626 -0.018661 2.576106 1.000000 1.000000
2.408768 4.381533 1.746836 0.139626 -0.019800 2.638938 1.000000 1.000000
2.128896 4.524135 1.740441 0.139626 -0.020934 2.701770 1.000000 1.000000
1.840623 4.648882 1.733690 0.139626 -0.022063 2.764602 1.000000 1.000000
1.545085 4.755283 1.726585 0.139626 -0.023186 2.827433 1.000000 1.000000
1.243449 4.842916 1.719128 0.139626 -0.024304 2.890265 1.000000 1.000000
0.936907 4.911436 1.711321 0.139626 -0.025416 2.953097 1.000000 1.000000
0.626666 4.960574 1.703166 0.139626 -0.026521 3.015929 1.000000 1.000000
0.313953 4.990134 1.694665 0.139626 -0.027619 3.078761 1.000000 1.000000
-0.000000 5.000000 1.685819 0.139626 -0.028711 3.141593 1.000000 1.000000
-0.313953 4.990134 1.676632 0.139626 -0.029796 -3.078761 1.000000 1.000000
-0.626666 4.960574 1.667105 0.139626 -0.030873 -3.015929 1.000000 1.000000
-0.936907 4.911436 1.657241 0.139626 -0.031942 -2.953097 1.000000 1.000000
-1.243449 4.842916 1.647041 0.139626 -0.033004 -2.890265 1.000000 1.000000
