# x y z roll pitch yaw d_left d_right
6.000000 0.000000 0.750000 0.000000 0.283440 1.570796 1.000000 1.000000
5.997039 0.113079 0.782938 0.016425 0.282014 1.623126 1.000000 1.000000
5.988160 0.226046 0.815583 0.032704 0.277756 1.675272 1.000000 1.000000
5.973372 0.338790 0.847647 0.048693 0.270727 1.727058 1.000000 1.000000
5.952688 0.451200 0.878844 0.064250 0.261029 1.778314 1.000000 1.000000
5.926130 0.563164 0.908897 0.079236 0.248803 1.828883 1.000000 1.000000
5.893724 0.674573 0.937539 0.093519 0.234225 1.878624 1.000000 1.000000
5.855501 0.785316 0.964517 0.106972 0.217504 1.927412 1.000000 1.000000
5.811499 0.895284 0.989591 0.119476 0.198881 1.975144 1.000000 1.000000
5.761762 1.004368 1.012539 0.130919 0.178618 2.021733 1.000000 1.000000
5.706339 1.112461 1.033156 0.141200 0.156999 2.067116 1.000000 1.000000
5.645285 1.219457 1.051260 0.150228 0.134318 2.111243 1.000000 1.000000
5.578659 1.325248 1.066689 0.157922 0.110878 2.154086 1.000000 1.000000
5.506528 1.429732 1.079308 0.164215 0.086978 2.195630 1.000000 1.000000
5.428962 1.532805 1.089004 0.169050 0.062912 2.235874 1.000000 1.000000
5.346039 1.634366 1.095691 0.172384 0.038962 2.274831 1.000000 1.000000
5.257840 1.734313 1.099309 0.174189 0.015387 2.312521 1.000000 1.000000
5.164452 1.832549 1.099827 0.174447 -0.007570 2.348975 1.000000 1.000000
5.065968 1.928976 1.097240 0.173157 -0.029696 2.384228 1.000000 1.000000
4.962483 2.023500 1.091571 0.170330 -0.050803 2.418321 1.000000 1.000000
4.854102 2.116027 1.082870 0.165991 -0.070728 2.451299 1.000000 1.000000
4.740930 2.206465 1.071214 0.160178 -0.089337 2.483211 1.000000 1.000000
4.623079 2.294726 1.056707 0.152944 -0.106521 2.514104 1.000000 1.000000
4.500666 2.380723 1.039478 0.144353 -0.122192 2.544029 1.000000 1.000000
4.373812 2.464370 1.019680 0.134480 -0.136286 2.573035 1.000000 1.000000
4.242641 2.545584 0.997487 0.123413 -0.148757 2.601173 1.000000 1.000000
4.107283 2.624287 0.973098 0.111251 -0.159573 2.628491 1.000000 1.000000
3.967871 2.700400 0.946729 0.098102 -0.168720 2.655038 1.000000 1.000000
3.824544 2.773848 0.918614 0.084082 -0.176194 2.680859 1.000000 1.000000
3.677442 2.844558 0.889002 0.069315 -0.182001 2.706000 1.000000 1.000000
3.526712 2.912461 0.858156 0.053934 -0.186157 2.730505 1.000000 1.000000
