# x y z roll pitch yaw d_left d_right
8.000000 0.000000 0.000000 0.000000 0.000000 1.570796 1.000000 1.000000
7.989036 0.209344 0.000000 0.000000 0.000000 1.675231 1.000000 1.000000
7.956175 0.418114 0.000000 0.000000 0.000000 1.777988 1.000000 1.000000
7.901507 0.625738 0.000000 0.000000 0.000000 1.877566 1.000000 1.000000
7.825181 0.831647 0.000000 0.000000 0.000000 1.972763 1.000000 1.000000
7.727407 1.035276 0.000000 0.000000 0.000000 2.062749 1.000000 1.000000
7.608452 1.236068 0.000000 0.000000 0.000000 2.147059 1.000000 1.000000
7.468643 1.433472 0.000000 0.000000 0.000000 2.225547 1.000000 1.000000
7.308364 1.626947 0.000000 0.000000 0.000000 2.298314 1.000000 1.000000
7.128052 1.815962 0.000000 0.000000 0.000000 2.365630 1.000000 1.000000
6.928203 2.000000 0.000000 0.000000 0.000000 2.427868 1.000000 1.000000
6.709365 2.178556 0.000000 0.000000 0.000000 2.485456 1.000000 1.000000
6.472136 2.351141 0.000000 0.000000 0.000000 2.538836 1.000000 1.000000
6.217168 2.517282 0.000000 0.000000 0.000000 2.588442 1.000000 1.000000
5.945159 2.676522 0.000000 0.000000 0.000000 2.634685 1.000000 1.000000
5.656854 2.828427 0.000000 0.000000 0.000000 2.677945 1.000000 1.000000
5.353045 2.972579 0.000000 0.014595 0.000000 2.718571 1.000000 1.000000
5.034563 3.108584 0.000000 0.029030 0.000000 2.756876 1.000000 1.000000
4.702282 3.236068 0.000000 0.043147 0.000000 2.793144 1.000000 1.000000
4.357112 3.354682 0.000000 0.056791 0.000000 2.827629 1.000000 1.000000
4.000000 3.464102 0.000000 0.069813 0.000000 2.860558 1.000000 1.000000
3.631924 3.564026 0.000000 0.082070 0.000000 2.892136 1.000000 1.000000
3.253893 3.654182 0.000000 0.093428 0.000000 2.922550 1.000000 1.000000
2.866944 3.734322 0.000000 0.103763 0.000000 2.951967 1.000000 1.000000
2.472136 3.804226 0.000000 0.112960 0.000000 2.980540 1.000000 1.000000
2.070552 3.863703 0.000000 0.120920 0.000000 3.008411 1.000000 1.000000
1.663294 3.912590 0.000000 0.127555 0.000000 3.035712 1.000000 1.000000
1.251476 3.950753 0.000000 0.132793 0.000000 3.062565 1.000000 1.000000
0.836228 3.978088 0.000000 0.136575 0.000000 3.089089 1.000000 1.000000
0.418688 3.994518 0.000000 0.138861 0.000000 3.115395 1.000000 1.000000
0.000000 4.000000 0.000000 0.139626 0.000000 3.141593 1.000000 1.000000
-0.418688 3.994518 0.000000 0.138861 -0.000000 -3.115395 1.000000 1.000000
-0.836228 3.978088 0.000000 0.136575 -0.000000 -3.089089 1.000000 1.000000
-1.251476 3.950753 0.000000 0.132793 -0.000000 -3.062565 1.000000 1.000000
-1.663294 3.912590 0.000000 0.127555 -0.000000 -3.035712 1.000000 1.000000
-2.070552 3.863703 0.000000 0.120920 -0.000000 -3.008411 1.000000 1.000000
-2.472136 3.804226 0.000000 0.112960 -0.000000 -2.980540 1.000000 1.000000
-2.866944 3.734322 0.000000 0.103763 -0.000000 -2.951967 1.000000 1.000000
-3.253893 3.654182 0.000000 0.093428 -0.000000 -2.922550 1.000000 1.000000
-3.631924 3.564026 0.000000 0.082070 -0.000000 -2.892136 1.000000 1.000000
-4.000000 3.464102 0.000000 0.069813 -0.000000 -2.860558 1.000000 1.000000
-4.357112 3.354682 0.000000 0.056791 -0.000000 -2.827629 1.000000 1.000000
-4.702282 3.236068 0.000000 0.043147 -0.000000 -2.793144 1.000000 1.000000
-5.034563 3.108584 0.000000 0.029030 -0.000000 -2.756876 1.000000 1.000000
-5.353045 2.972579 0.000000 0.014595 -0.000000 -2.718571 1.000000 1.000000
-5.656854 2.828427 0.000000 0.000000 -0.000000 -2.677945 1.000000 1.000000
-5.945159 2.676522 0.000000 0.000000 -0.000000 -2.634685 1.000000 1.000000
-6.217168 2.517282 0.000000 0.000000 -0.000000 -2.588442 1.000000 1.000000
-6.472136 2.351141 0.000000 0.000000 -0.000000 -2.538836 1.000000 1.000000
-6.709365 2.178556 0.000000 0.000000 -0.000000 -2.485456 1.000000 1.000000
-6.928203 2.000000 0.000000 0.000000 -0.000000 -2.427868 1.000000 1.000000
-7.128052 1.815962 0.000000 0.000000 -0.000000 -2.365630 1.000000 1.000000
-7.308364 1.626947 0.000000 0.000000 -0.000000 -2.298314 1.000000 1.000000
-7.468643 1.433472 0.000000 0.000000 -0.000000 -2.225547 1.000000 1.000000
-7.608452 1.236068 0.000000 0.000000 -0.000000 -2.147059 1.000000 1.000000
-7.727407 1.035276 0.000000 0.000000 -0.000000 -2.062749 1.000000 1.000000
-7.825181 0.831647 0.000000 0.000000 -0.000000 -1.972763 1.000000 1.000000
-7.901507 0.625738 0.000000 0.000000 -0.000000 -1.877566 1.000000 1.000000
-7.956175 0.418114 0.000000 0.000000 -0.000000 -1.777988 1.000000 1.000000
-7.989036 0.209344 0.000000 0.000000 -0.000000 -1.675231 1.000000 1.000000
-8.000000 0.000000 0.000000 0.000000 -0.000000 -1.570796 1.000000 1.000000
-7.989036 -0.209344 -0.000000 0.000000 -0.000000 -1.466362 1.000000 1.000000
-7.956175 -0.418114 -0.000000 0.000000 -0.000000 -1.363604 1.000000 1.000000
-7.901507 -0.625738 -0.000000 0.000000 -0.000000 -1.264027 1.000000 1.000000
-7.825181 -0.831647 -0.000000 0.000000 -0.000000 -1.168830 1.000000 1.000000
-7.727407 -1.035276 -0.000000 0.000000 -0.000000 -1.078844 1.000000 1.000000
-7.608452 -1.236068 -0.000000 0.000000 -0.000000 -0.994534 1.000000 1.000000
-7.468643 -1.433472 -0.000000 0.000000 -0.000000 -0.916045 1.000000 1.000000
-7.308364 -1.626947 -0.000000 0.000000 -0.000000 -0.843278 1.000000 1.000000
-7.128052 -1.815962 -0.000000 0.000000 -0.000000 -0.775963 1.000000 1.000000
-6.928203 -2.000000 -0.000000 0.000000 -0.000000 -0.713724 1.000000 1.000000
-6.709365 -2.178556 -0.000000 0.000000 -0.000000 -0.656136 1.000000 1.000000
-6.472136 -2.351141 -0.000000 0.000000 -0.000000 -0.602756 1.000000 1.000000
-6.217168 -2.517282 -0.000000 0.000000 -0.000000 -0.553151 1.000000 1.000000
-5.945159 -2.676522 -0.000000 0.000000 -0.000000 -0.506908 1.000000 1.000000
-5.656854 -2.828427 -0.000000 0.000000 -0.000000 -0.463648 1.000000 1.000000
-5.353045 -2.972579 -0.000000 0.014595 -0.000000 -0.423022 1.000000 1.000000
-5.034563 -3.108584 -0.000000 0.029030 -0.000000 -0.384717 1.000000 1.000000
-4.702282 -3.236068 -0.000000 0.043147 -0.000000 -0.348449 1.000000 1.000000
-4.357112 -3.354682 -0.000000 0.056791 -0.000000 -0.313964 1.000000 1.000000
-4.000000 -3.464102 -0.000000 0.069813 -0.000000 -0.281035 1.000000 1.000000
-3.631924 -3.564026 -0.000000 0.082070 -0.000000 -0.249456 1.000000 1.000000
-3.253893 -3.654182 -0.000000 0.093428 -0.000000 -0.219043 1.000000 1.000000
-2.866944 -3.734322 -0.000000 0.103763 -0.000000 -0.189626 1.000000 1.000000
-2.472136 -3.804226 -0.000000 0.112960 -0.000000 -0.161053 1.000000 1.000000
-2.070552 -3.863703 -0.000000 0.120920 -0.000000 -0.133182 1.000000 1.000000
-1.663294 -3.912590 -0.000000 0.127555 -0.000000 -0.105881 1.000000 1.000000
-1.251476 -3.950753 -0.000000 0.132793 -0.000000 -0.079027 1.000000 1.000000
-0.836228 -3.978088 -0.000000 0.136575 -0.000000 -0.052504 1.000000 1.000000
-0.418688 -3.994518 -0.000000 0.138861 -0.000000 -0.026198 1.000000 1.000000
-0.000000 -4.000000 -0.000000 0.139626 -0.000000 -0.000000 1.000000 1.000000
0.418688 -3.994518 -0.000000 0.138861 0.000000 0.026198 1.000000 1.000000
0.836228 -3.978088 -0.000000 0.136575 0.000000 0.052504 1.000000 1.000000
1.251476 -3.950753 -0.000000 0.132793 0.000000 0.079027 1.000000 1.000000
1.663294 -3.912590 -0.000000 0.127555 0.000000 0.105881 1.000000 1.000000
2.070552 -3.863703 -0.000000 0.120920 0.000000 0.133182 1.000000 1.000000
2.472136 -3.804226 -0.000000 0.112960 0.000000 0.161053 1.000000 1.000000
2.866944 -3.734322 -0.000000 0.103763 0.000000 0.189626 1.000000 1.000000
3.253893 -3.654182 -0.000000 0.093428 0.000000 0.219043 1.000000 1.000000
3.631924 -3.564026 -0.000000 0.082070 0.000000 0.249456 1.000000 1.000000
4.000000 -3.464102 -0.000000 0.069813 0.000000 0.281035 1.000000 1.000000
4.357112 -3.354682 -0.000000 0.056791 0.000000 0.313964 1.000000 1.000000
4.702282 -3.236068 -0.000000 0.043147 0.000000 0.348449 1.000000 1.000000
5.034563 -3.108584 -0.000000 0.029030 0.000000 0.384717 1.000000 1.000000
5.353045 -2.972579 -0.000000 0.014595 0.000000 0.423022 1.000000 1.000000
5.656854 -2.828427 -0.000000 0.000000 0.000000 0.463648 1.000000 1.000000
5.945159 -2.676522 -0.000000 0.000000 0.000000 0.506908 1.000000 1.000000
6.217168 -2.517282 -0.000000 0.000000 0.000000 0.553151 1.000000 1.000000
6.472136 -2.351141 -0.000000 0.000000 0.000000 0.602756 1.000000 1.000000
6.709365 -2.178556 -0.000000 0.000000 0.000000 0.656136 1.000000 1.000000
6.928203 -2.000000 -0.000000 0.000000 0.000000 0.713724 1.000000 1.000000
7.128052 -1.815962 -0.000000 0.000000 0.000000 0.775963 1.000000 1.000000
7.308364 -1.626947 -0.000000 0.000000 0.000000 0.843278 1.000000 1.000000
7.468643 -1.433472 -0.000000 0.000000 0.000000 0.916045 1.000000 1.000000
7.608452 -1.236068 -0.000000 0.000000 0.000000 0.994534 1.000000 1.000000
7.727407 -1.035276 -0.000000 0.000000 0.000000 1.078844 1.000000 1.000000
7.825181 -0.831647 -0.000000 0.000000 0.000000 1.168830 1.000000 1.000000
7.901507 -0.625738 -0.000000 0.000000 0.000000 1.264027 1.000000 1.000000
7.956175 -0.418114 -0.000000 0.000000 0.000000 1.363604 1.000000 1.000000
7.989036 -0.209344 -0.000000 0.000000 0.000000 1.466362 1.000000 1.000000
