# x y z roll pitch yaw d_left d_right
8.000000 0.000000 0.650000 0.000000 0.062419 1.570796 1.000000 1.000000
7.989036 0.209344 0.663084 0.000000 0.062080 1.675231 1.000000 1.000000
7.956175 0.418114 0.676132 0.000000 0.061087 1.777988 1.000000 1.000000
7.901507 0.625738 0.689109 0.000000 0.059512 1.877566 1.000000 1.000000
7.825181 0.831647 0.701978 0.000000 0.057455 1.972763 1.000000 1.000000
7.727407 1.035276 0.714705 0.000000 0.055033 2.062749 1.000000 1.000000
7.608452 1.236068 0.727254 0.000000 0.052359 2.147059 1.000000 1.000000
7.468643 1.433472 0.739592 0.000000 0.049534 2.225547 1.000000 1.000000
7.308364 1.626947 0.751684 0.000000 0.046643 2.298314 1.000000 1.000000
7.128052 1.815962 0.763498 0.000000 0.043747 2.365630 1.000000 1.000000
6.928203 2.000000 0.775000 0.000000 0.040893 2.427868 1.000000 1.000000
6.709365 2.178556 0.786160 0.000000 0.038110 2.485456 1.000000 1.000000
6.472136 2.351141 0.796946 0.000000 0.035417 2.538836 1.000000 1.000000
6.217168 2.517282 0.807330 0.000000 0.032824 2.588442 1.000000 1.000000
5.945159 2.676522 0.817283 0.000000 0.030333 2.634685 1.000000 1.000000
5.656854 2.828427 0.826777 0.000000 0.027944 2.677945 1.000000 1.000000
5.353045 2.972579 0.835786 0.018244 0.025652 2.718571 1.000000 1.000000
5.034563 3.108584 0.844286 0.036287 0.023452 2.756876 1.000000 1.000000
4.702282 3.236068 0.852254 0.053934 0.021337 2.793144 1.000000 1.000000
4.357112 3.354682 0.859668 0.070989 0.019300 2.827629 1.000000 1.000000
4.000000 3.464102 0.866506 0.087266 0.017333 2.860558 1.000000 1.000000
3.631924 3.564026 0.872752 0.102588 0.015429 2.892136 1.000000 1.000000
3.253893 3.654182 0.878386 0.116785 0.013580 2.922550 1.000000 1.000000
2.866944 3.734322 0.883395 0.129703 0.011780 2.951967 1.000000 1.000000
2.472136 3.804226 0.887764 0.141200 0.010022 2.980540 1.000000 1.000000
2.070552 3.863703 0.891481 0.151150 0.008299 3.008411 1.000000 1.000000
1.663294 3.912590 0.894537 0.159444 0.006605 3.035712 1.000000 1.000000
1.251476 3.950753 0.896922 0.165991 0.004934 3.062565 1.000000 1.000000
0.836228 3.978088 0.898630 0.170719 0.003280 3.089089 1.000000 1.000000
0.418688 3.994518 0.899657 0.173577 0.001637 3.115395 1.000000 1.000000
0.000000 4.000000 0.900000 0.174533 0.000000 3.141593 1.000000 1.000000
-0.418688 3.994518 0.899657 0.173577 -0.001637 -3.115395 1.000000 1.000000
-0.836228 3.978088 0.898630 0.170719 -0.003280 -3.089089 1.000000 1.000000
-1.251476 3.950753 0.896922 0.165991 -0.004934 -3.062565 1.000000 1.000000
-1.663294 3.912590 0.894537 0.159444 -0.006605 -3.035712 1.000000 1.000000
-2.070552 3.863703 0.891481 0.151150 -0.008299 -3.008411 1.000000 1.000000
-2.472136 3.804226 0.887764 0.141200 -0.010022 -2.980540 1.000000 1.000000
-2.866944 3.734322 0.883395 0.129703 -0.011780 -2.951967 1.000000 1.000000
-3.253893 3.654182 0.878386 0.116785 -0.013580 -2.922550 1.000000 1.000000
-3.631924 3.564026 0.872752 0.102588 -0.015429 -2.892136 1.000000 1.000000
-4.000000 3.464102 0.866506 0.087266 -0.017333 -2.860558 1.000000 1.000000
-4.357112 3.354682 0.859668 0.070989 -0.019300 -2.827629 1.000000 1.000000
-4.702282 3.236068 0.852254 0.053934 -0.021337 -2.793144 1.000000 1.000000
-5.034563 3.108584 0.844286 0.036287 -0.023452 -2.756876 1.000000 1.000000
-5.353045 2.972579 0.835786 0.018244 -0.025652 -2.718571 1.000000 1.000000
-5.656854 2.828427 0.826777 0.000000 -0.027944 -2.677945 1.000000 1.000000
-5.945159 2.676522 0.817283 0.000000 -0.030333 -2.634685 1.000000 1.000000
-6.217168 2.517282 0.807330 0.000000 -0.032824 -2.588442 1.000000 1.000000
-6.472136 2.351141 0.796946 0.000000 -0.035417 -2.538836 1.000000 1.000000
-6.709365 2.178556 0.786160 0.000000 -0.038110 -2.485456 1.000000 1.000000
-6.928203 2.000000 0.775000 0.000000 -0.040893 -2.427868 1.000000 1.000000
-7.128052 1.815962 0.763498 0.000000 -0.043747 -2.365630 1.000000 1.000000
-7.308364 1.626947 0.751684 0.000000 -0.046643 -2.298314 1.000000 1.000000
-7.468643 1.433472 0.739592 0.000000 -0.049534 -2.225547 1.000000 1.000000
-7.608452 1.236068 0.727254 0.000000 -0.052359 -2.147059 1.000000 1.000000
-7.727407 1.035276 0.714705 0.000000 -0.055033 -2.062749 1.000000 1.000000
-7.825181 0.831647 0.701978 0.000000 -0.057455 -1.972763 1.000000 1.000000
-7.901507 0.625738 0.689109 0.000000 -0.059512 -1.877566 1.000000 1.000000
-7.956175 0.418114 0.676132 0.000000 -0.061087 -1.777988 1.000000 1.000000
-7.989036 0.209344 0.663084 0.000000 -0.062080 -1.675231 1.000000 1.000000
-8.000000 0.000000 0.650000 0.000000 -0.062419 -1.570796 1.000000 1.000000
-7.989036 -0.209344 0.636916 0.000000 -0.062080 -1.466362 1.000000 1.000000
-7.956175 -0.418114 0.623868 0.000000 -0.061087 -1.363604 1.000000 1.000000
-7.901507 -0.625738 0.610891 0.000000 -0.059512 -1.264027 1.000000 1.000000
-7.825181 -0.831647 0.598022 0.000000 -0.057455 -1.168830 1.000000 1.000000
-7.727407 -1.035276 0.585295 0.000000 -0.055033 -1.078844 1.000000 1.000000
-7.608452 -1.236068 0.572746 0.000000 -0.052359 -0.994534 1.000000 1.000000
-7.468643 -1.433472 0.560408 0.000000 -0.049534 -0.916045 1.000000 1.000000
-7.308364 -1.626947 0.548316 0.000000 -0.046643 -0.843278 1.000000 1.000000
-7.128052 -1.815962 0.536502 0.000000 -0.043747 -0.775963 1.000000 1.000000
-6.928203 -2.000000 0.525000 0.000000 -0.040893 -0.713724 1.000000 1.000000
-6.709365 -2.178556 0.513840 0.000000 -0.038110 -0.656136 1.000000 1.000000
-6.472136 -2.351141 0.503054 0.000000 -0.035417 -0.602756 1.000000 1.000000
-6.217168 -2.517282 0.492670 0.000000 -0.032824 -0.553151 1.000000 1.000000
-5.945159 -2.676522 0.482717 0.000000 -0.030333 -0.506908 1.000000 1.000000
-5.656854 -2.828427 0.473223 0.000000 -0.027944 -0.463648 1.000000 1.000000
-5.353045 -2.972579 0.464214 0.018244 -0.025652 -0.423022 1.000000 1.000000
-5.034563 -3.108584 0.455714 0.036287 -0.023452 -0.384717 1.000000 1.000000
-4.702282 -3.236068 0.447746 0.053934 -0.021337 -0.348449 1.000000 1.000000
-4.357112 -3.354682 0.440332 0.070989 -0.019300 -0.313964 1.000000 1.000000
-4.000000 -3.464102 0.433494 0.087266 -0.017333 -0.281035 1.000000 1.000000
-3.631924 -3.564026 0.427248 0.102588 -0.015429 -0.249456 1.000000 1.000000
-3.253893 -3.654182 0.421614 0.116785 -0.013580 -0.219043 1.000000 1.000000
-2.866944 -3.734322 0.416605 0.129703 -0.011780 -0.189626 1.000000 1.000000
-2.472136 -3.804226 0.412236 0.141200 -0.010022 -0.161053 1.000000 1.000000
-2.070552 -3.863703 0.408519 0.151150 -0.008299 -0.133182 1.000000 1.000000
-1.663294 -3.912590 0.405463 0.159444 -0.006605 -0.105881 1.000000 1.000000
-1.251476 -3.950753 0.403078 0.165991 -0.004934 -0.079027 1.000000 1.000000
-0.836228 -3.978088 0.401370 0.170719 -0.003280 -0.052504 1.000000 1.000000
-0.418688 -3.994518 0.400343 0.173577 -0.001637 -0.026198 1.000000 1.000000
-0.000000 -4.000000 0.400000 0.174533 -0.000000 -0.000000 1.000000 1.000000
0.418688 -3.994518 0.400343 0.173577 0.001637 0.026198 1.000000 1.000000
0.836228 -3.978088 0.401370 0.170719 0.003280 0.052504 1.000000 1.000000
1.251476 -3.950753 0.403078 0.165991 0.004934 0.079027 1.000000 1.000000
1.663294 -3.912590 0.405463 0.159444 0.006605 0.105881 1.000000 1.000000
2.070552 -3.863703 0.408519 0.151150 0.008299 0.133182 1.000000 1.000000
2.472136 -3.804226 0.412236 0.141200 0.010022 0.161053 1.000000 1.000000
2.866944 -3.734322 0.416605 0.129703 0.011780 0.189626 1.000000 1.000000
3.253893 -3.654182 0.421614 0.116785 0.013580 0.219043 1.000000 1.000000
3.631924 -3.564026 0.427248 0.102588 0.015429 0.249456 1.000000 1.000000
4.000000 -3.464102 0.433494 0.087266 0.017333 0.281035 1.000000 1.000000
4.357112 -3.354682 0.440332 0.070989 0.019300 0.313964 1.000000 1.000000
4.702282 -3.236068 0.447746 0.053934 0.021337 0.348449 1.000000 1.000000
5.034563 -3.108584 0.455714 0.036287 0.023452 0.384717 1.000000 1.000000
5.353045 -2.972579 0.464214 0.018244 0.025652 0.423022 1.000000 1.000000
5.656854 -2.828427 0.473223 0.000000 0.027944 0.463648 1.000000 1.000000
5.945159 -2.676522 0.482717 0.000000 0.030333 0.506908 1.000000 1.000000
6.217168 -2.517282 0.492670 0.000000 0.032824 0.553151 1.000000 1.000000
6.472136 -2.351141 0.503054 0.000000 0.035417 0.602756 1.000000 1.000000
6.709365 -2.178556 0.513840 0.000000 0.038110 0.656136 1.000000 1.000000
6.928203 -2.000000 0.525000 0.000000 0.040893 0.713724 1.000000 1.000000
7.128052 -1.815962 0.536502 0.000000 0.043747 0.775963 1.000000 1.000000
7.308364 -1.626947 0.548316 0.000000 0.046643 0.843278 1.000000 1.000000
7.468643 -1.433472 0.560408 0.000000 0.049534 0.916045 1.000000 1.000000
7.608452 -1.236068 0.572746 0.000000 0.052359 0.994534 1.000000 1.000000
7.727407 -1.035276 0.585295 0.000000 0.055033 1.078844 1.000000 1.000000
7.825181 -0.831647 0.598022 0.000000 0.057455 1.168830 1.000000 1.000000
7.901507 -0.625738 0.610891 0.000000 0.059512 1.264027 1.000000 1.000000
7.956175 -0.418114 0.623868 0.000000 0.061087 1.363604 1.000000 1.000000
7.989036 -0.209344 0.636916 0.000000 0.062080 1.466362 1.000000 1.000000
