# x y z roll pitch yaw d_left d_right
8.000000 0.000000 0.525000 0.000000 0.031240 1.570796 1.000000 1.000000
7.989036 0.209344 0.531542 0.000000 0.031070 1.675231 1.000000 1.000000
7.956175 0.418114 0.538066 0.000000 0.030572 1.777988 1.000000 1.000000
7.901507 0.625738 0.544554 0.000000 0.029782 1.877566 1.000000 1.000000
7.825181 0.831647 0.550989 0.000000 0.028751 1.972763 1.000000 1.000000
7.727407 1.035276 0.557352 0.000000 0.027537 2.062749 1.000000 1.000000
7.608452 1.236068 0.563627 0.000000 0.026197 2.147059 1.000000 1.000000
7.468643 1.433472 0.569796 0.000000 0.024782 2.225547 1.000000 1.000000
7.308364 1.626947 0.575842 0.000000 0.023334 2.298314 1.000000 1.000000
7.128052 1.815962 0.581749 0.000000 0.021884 2.365630 1.000000 1.000000
6.928203 2.000000 0.587500 0.000000 0.020455 2.427868 1.000000 1.000000
6.709365 2.178556 0.593080 0.000000 0.019062 2.485456 1.000000 1.000000
6.472136 2.351141 0.598473 0.000000 0.017714 2.538836 1.000000 1.000000
6.217168 2.517282 0.603665 0.000000 0.016416 2.588442 1.000000 1.000000
5.945159 2.676522 0.608641 0.000000 0.015170 2.634685 1.000000 1.000000
5.656854 2.828427 0.613388 0.000000 0.013975 2.677945 1.000000 1.000000
5.353045 2.972579 0.617893 0.021892 0.012828 2.718571 1.000000 1.000000
5.034563 3.108584 0.622143 0.043545 0.011727 2.756876 1.000000 1.000000
4.702282 3.236068 0.626127 0.064720 0.010670 2.793144 1.000000 1.000000
4.357112 3.354682 0.629834 0.085187 0.009651 2.827629 1.000000 1.000000
4.000000 3.464102 0.633253 0.104720 0.008667 2.860558 1.000000 1.000000
3.631924 3.564026 0.636376 0.123105 0.007715 2.892136 1.000000 1.000000
3.253893 3.654182 0.639193 0.140142 0.006790 2.922550 1.000000 1.000000
2.866944 3.734322 0.641698 0.155644 0.005890 2.951967 1.000000 1.000000
2.472136 3.804226 0.643882 0.169440 0.005011 2.980540 1.000000 1.000000
2.070552 3.863703 0.645741 0.181380 0.004150 3.008411 1.000000 1.000000
1.663294 3.912590 0.647268 0.191333 0.003303 3.035712 1.000000 1.000000
1.251476 3.950753 0.648461 0.199189 0.002467 3.062565 1.000000 1.000000
0.836228 3.978088 0.649315 0.204863 0.001640 3.089089 1.000000 1.000000
0.418688 3.994518 0.649829 0.208292 0.000819 3.115395 1.000000 1.000000
0.000000 4.000000 0.650000 0.209440 0.000000 3.141593 1.000000 1.000000
-0.418688 3.994518 0.649829 0.208292 -0.000819 -3.115395 1.000000 1.000000
-0.836228 3.978088 0.649315 0.204863 -0.001640 -3.089089 1.000000 1.000000
-1.251476 3.950753 0.648461 0.199189 -0.002467 -3.062565 1.000000 1.000000
-1.663294 3.912590 0.647268 0.191333 -0.003303 -3.035712 1.000000 1.000000
-2.070552 3.863703 0.645741 0.181380 -0.004150 -3.008411 1.000000 1.000000
-2.472136 3.804226 0.643882 0.169440 -0.005011 -2.980540 1.000000 1.000000
-2.866944 3.734322 0.641698 0.155644 -0.005890 -2.951967 1.000000 1.000000
-3.253893 3.654182 0.639193 0.140142 -0.006790 -2.922550 1.000000 1.000000
-3.631924 3.564026 0.636376 0.123105 -0.007715 -2.892136 1.000000 1.000000
-4.000000 3.464102 0.633253 0.104720 -0.008667 -2.860558 1.000000 1.000000
-4.357112 3.354682 0.629834 0.085187 -0.009651 -2.827629 1.000000 1.000000
-4.702282 3.236068 0.626127 0.064720 -0.010670 -2.793144 1.000000 1.000000
-5.034563 3.108584 0.622143 0.043545 -0.011727 -2.756876 1.000000 1.000000
-5.353045 2.972579 0.617893 0.021892 -0.012828 -2.718571 1.000000 1.000000
-5.656854 2.828427 0.613388 0.000000 -0.013975 -2.677945 1.000000 1.000000
-5.945159 2.676522 0.608641 0.000000 -0.015170 -2.634685 1.000000 1.000000
-6.217168 2.517282 0.603665 0.000000 -0.016416 -2.588442 1.000000 1.000000
-6.472136 2.351141 0.598473 0.000000 -0.017714 -2.538836 1.000000 1.000000
-6.709365 2.178556 0.593080 0.000000 -0.019062 -2.485456 1.000000 1.000000
-6.928203 2.000000 0.587500 0.000000 -0.020455 -2.427868 1.000000 1.000000
-7.128052 1.815962 0.581749 0.000000 -0.021884 -2.365630 1.000000 1.000000
-7.308364 1.626947 0.575842 0.000000 -0.023334 -2.298314 1.000000 1.000000
-7.468643 1.433472 0.569796 0.000000 -0.024782 -2.225547 1.000000 1.000000
-7.608452 1.236068 0.563627 0.000000 -0.026197 -2.147059 1.000000 1.000000
-7.727407 1.035276 0.557352 0.000000 -0.027537 -2.062749 1.000000 1.000000
-7.825181 0.831647 0.550989 0.000000 -0.028751 -1.972763 1.000000 1.000000
-7.901507 0.625738 0.544554 0.000000 -0.029782 -1.877566 1.000000 1.000000
-7.956175 0.418114 0.538066 0.000000 -0.030572 -1.777988 1.000000 1.000000
-7.989036 0.209344 0.531542 0.000000 -0.031070 -1.675231 1.000000 1.000000
-8.000000 0.000000 0.525000 0.000000 -0.031240 -1.570796 1.000000 1.000000
-7.989036 -0.209344 0.518458 0.000000 -0.031070 -1.466362 1.000000 1.000000
-7.956175 -0.418114 0.511934 0.000000 -0.030572 -1.363604 1.000000 1.000000
-7.901507 -0.625738 0.505446 0.000000 -0.029782 -1.264027 1.000000 1.000000
-7.825181 -0.831647 0.499011 0.000000 -0.028751 -1.168830 1.000000 1.000000
-7.727407 -1.035276 0.492648 0.000000 -0.027537 -1.078844 1.000000 1.000000
-7.608452 -1.236068 0.486373 0.000000 -0.026197 -0.994534 1.000000 1.000000
-7.468643 -1.433472 0.480204 0.000000 -0.024782 -0.916045 1.000000 1.000000
-7.308364 -1.626947 0.474158 0.000000 -0.023334 -0.843278 1.000000 1.000000
-7.128052 -1.815962 0.468251 0.000000 -0.021884 -0.775963 1.000000 1.000000
-6.928203 -2.000000 0.462500 0.000000 -0.020455 -0.713724 1.000000 1.000000
-6.709365 -2.178556 0.456920 0.000000 -0.019062 -0.656136 1.000000 1.000000
-6.472136 -2.351141 0.451527 0.000000 -0.017714 -0.602756 1.000000 1.000000
-6.217168 -2.517282 0.446335 0.000000 -0.016416 -0.553151 1.000000 1.000000
-5.945159 -2.676522 0.441359 0.000000 -0.015170 -0.506908 1.000000 1.000000
-5.656854 -2.828427 0.436612 0.000000 -0.013975 -0.463648 1.000000 1.000000
-5.353045 -2.972579 0.432107 0.021892 -0.012828 -0.423022 1.000000 1.000000
-5.034563 -3.108584 0.427857 0.043545 -0.011727 -0.384717 1.000000 1.000000
-4.702282 -3.236068 0.423873 0.064720 -0.010670 -0.348449 1.000000 1.000000
-4.357112 -3.354682 0.420166 0.085187 -0.009651 -0.313964 1.000000 1.000000
-4.000000 -3.464102 0.416747 0.104720 -0.008667 -0.281035 1.000000 1.000000
-3.631924 -3.564026 0.413624 0.123105 -0.007715 -0.249456 1.000000 1.000000
-3.253893 -3.654182 0.410807 0.140142 -0.006790 -0.219043 1.000000 1.000000
-2.866944 -3.734322 0.408302 0.155644 -0.005890 -0.189626 1.000000 1.000000
-2.472136 -3.804226 0.406118 0.169440 -0.005011 -0.161053 1.000000 1.000000
-2.070552 -3.863703 0.404259 0.181380 -0.004150 -0.133182 1.000000 1.000000
-1.663294 -3.912590 0.402732 0.191333 -0.003303 -0.105881 1.000000 1.000000
-1.251476 -3.950753 0.401539 0.199189 -0.002467 -0.079027 1.000000 1.000000
-0.836228 -3.978088 0.400685 0.204863 -0.001640 -0.052504 1.000000 1.000000
-0.418688 -3.994518 0.400171 0.208292 -0.000819 -0.026198 1.000000 1.000000
-0.000000 -4.000000 0.400000 0.209440 -0.000000 -0.000000 1.000000 1.000000
0.418688 -3.994518 0.400171 0.208292 0.000819 0.026198 1.000000 1.000000
0.836228 -3.978088 0.400685 0.204863 0.001640 0.052504 1.000000 1.000000
1.251476 -3.950753 0.401539 0.199189 0.002467 0.079027 1.000000 1.000000
1.663294 -3.912590 0.402732 0.191333 0.003303 0.105881 1.000000 1.000000
2.070552 -3.863703 0.404259 0.181380 0.004150 0.133182 1.000000 1.000000
2.472136 -3.804226 0.406118 0.169440 0.005011 0.161053 1.000000 1.000000
2.866944 -3.734322 0.408302 0.155644 0.005890 0.189626 1.000000 1.000000
3.253893 -3.654182 0.410807 0.140142 0.006790 0.219043 1.000000 1.000000
3.631924 -3.564026 0.413624 0.123105 0.007715 0.249456 1.000000 1.000000
4.000000 -3.464102 0.416747 0.104720 0.008667 0.281035 1.000000 1.000000
4.357112 -3.354682 0.420166 0.085187 0.009651 0.313964 1.000000 1.000000
4.702282 -3.236068 0.423873 0.064720 0.010670 0.348449 1.000000 1.000000
5.034563 -3.108584 0.427857 0.043545 0.011727 0.384717 1.000000 1.000000
5.353045 -2.972579 0.432107 0.021892 0.012828 0.423022 1.000000 1.000000
5.656854 -2.828427 0.436612 0.000000 0.013975 0.463648 1.000000 1.000000
5.945159 -2.676522 0.441359 0.000000 0.015170 0.506908 1.000000 1.000000
6.217168 -2.517282 0.446335 0.000000 0.016416 0.553151 1.000000 1.000000
6.472136 -2.351141 0.451527 0.000000 0.017714 0.602756 1.000000 1.000000
6.709365 -2.178556 0.456920 0.000000 0.019062 0.656136 1.000000 1.000000
6.928203 -2.000000 0.462500 0.000000 0.020455 0.713724 1.000000 1.000000
7.128052 -1.815962 0.468251 0.000000 0.021884 0.775963 1.000000 1.000000
7.308364 -1.626947 0.474158 0.000000 0.023334 0.843278 1.000000 1.000000
7.468643 -1.433472 0.480204 0.000000 0.024782 0.916045 1.000000 1.000000
7.608452 -1.236068 0.486373 0.000000 0.026197 0.994534 1.000000 1.000000
7.727407 -1.035276 0.492648 0.000000 0.027537 1.078844 1.000000 1.000000
7.825181 -0.831647 0.499011 0.000000 0.028751 1.168830 1.000000 1.000000
7.901507 -0.625738 0.505446 0.000000 0.029782 1.264027 1.000000 1.000000
7.956175 -0.418114 0.511934 0.000000 0.030572 1.363604 1.000000 1.000000
7.989036 -0.209344 0.518458 0.000000 0.031070 1.466362 1.000000 1.000000
