# x y z roll pitch yaw d_left d_right
8.000000 0.000000 0.400000 0.000000 -0.000000 1.570796 1.000000 1.000000
7.991945 0.201892 0.401610 0.000000 0.015884 1.650467 1.000000 1.000000
7.967794 0.403377 0.406428 0.000000 0.031429 1.729454 1.000000 1.000000
7.927598 0.604050 0.414415 0.000000 0.046321 1.807113 1.000000 1.000000
7.871437 0.803506 0.425506 0.000000 0.060286 1.882873 1.000000 1.000000
7.799423 1.001344 0.439612 0.000000 0.073109 1.956264 1.000000 1.000000
7.711703 1.197166 0.456620 0.000000 0.084632 2.026924 1.000000 1.000000
7.608452 1.390576 0.476393 0.000000 0.094760 2.094609 1.000000 1.000000
7.489879 1.581187 0.498771 0.000000 0.103449 2.159176 1.000000 1.000000
7.356222 1.768613 0.523575 0.000000 0.110699 2.220577 1.000000 1.000000
7.207751 1.952477 0.550604 0.000000 0.116540 2.278840 1.000000 1.000000
7.044764 2.132409 0.579641 0.000000 0.121030 2.334050 1.000000 1.000000
6.867590 2.308047 0.610453 0.000000 0.124237 2.386335 1.000000 1.000000
6.676586 2.479036 0.642790 0.000000 0.126241 2.435851 1.000000 1.000000
6.472136 2.645034 0.676393 0.000000 0.127122 2.482773 1.000000 1.000000
6.254652 2.805704 0.710992 0.000000 0.126963 2.527283 1.000000 1.000000
6.024572 2.960724 0.746307 0.000000 0.125841 2.569565 1.000000 1.000000
5.782359 3.109782 0.782054 0.000000 0.123833 2.609799 1.000000 1.000000
5.528501 3.252577 0.817946 0.000000 0.121009 2.648160 1.000000 1.000000
5.263510 3.388822 0.853693 0.000000 0.117435 2.684815 1.000000 1.000000
4.987918 3.518242 0.889008 0.000000 0.113175 2.719921 1.000000 1.000000
4.702282 3.640576 0.923607 0.000000 0.108285 2.753626 1.000000 1.000000
4.407176 3.755580 0.957210 0.000000 0.102821 2.786067 1.000000 1.000000
4.103194 3.863020 0.989547 0.000000 0.096834 2.817374 1.000000 1.000000
3.790949 3.962680 1.020359 0.000000 0.090371 2.847666 1.000000 1.000000
3.471070 4.054360 1.049396 0.000000 0.083479 2.877055 1.000000 1.000000
3.144200 4.137875 1.076425 0.000000 0.076202 2.905647 1.000000 1.000000
2.810999 4.213057 1.101229 0.000000 0.068582 2.933538 1.000000 1.000000
2.472136 4.279754 1.123607 0.000000 0.060661 2.960821 1.000000 1.000000
2.128295 4.337833 1.143380 0.000000 0.052476 2.987582 1.000000 1.000000
1.780167 4.387176 1.160388 0.000000 0.044069 3.013904 1.000000 1.000000
1.428455 4.427683 1.174494 0.000000 0.035476 3.039866 1.000000 1.000000
1.073866 4.459274 1.185585 0.000000 0.026736 3.065544 1.000000 1.000000
0.717114 4.481884 1.193572 0.000000 0.017885 3.091010 1.000000 1.000000
0.358919 4.495469 1.198390 0.000000 0.008961 3.116336 1.000000 1.000000
0.000000 4.500000 1.200000 0.000000 0.000000 3.141593 1.000000 1.000000
-0.358919 4.495469 1.198390 0.000000 -0.008961 -3.116336 1.000000 1.000000
-0.717114 4.481884 1.193572 0.000000 -0.017885 -3.091010 1.000000 1.000000
-1.073866 4.459274 1.185585 0.000000 -0.026736 -3.065544 1.000000 1.000000
