# x y z roll pitch yaw d_left d_right
9.000000 0.000000 0.500000 0.000000 0.329115 1.570796 1.000000 1.000000
8.993061 0.137409 0.546930 0.000000 0.324043 1.671486 1.000000 1.000000
8.972256 0.274607 0.592705 0.000000 0.309114 1.770475 1.000000 1.000000
8.937616 0.411381 0.636197 0.000000 0.285169 1.866238 1.000000 1.000000
8.889195 0.547521 0.676336 0.000000 0.253515 1.957558 1.000000 1.000000
8.827068 0.682816 0.712132 0.000000 0.215808 2.043593 1.000000 1.000000
8.751329 0.817059 0.742705 0.000000 0.173900 2.123872 1.000000 1.000000
8.662097 0.950042 0.767302 0.000000 0.129685 2.198247 1.000000 1.000000
8.559509 1.081559 0.785317 0.000000 0.084955 2.266817 1.000000 1.000000
8.443722 1.211410 0.796307 0.000000 0.041292 2.329849 1.000000 1.000000
8.314916 1.339392 0.800000 0.000000 0.000000 2.387718 1.000000 1.000000
8.173289 1.465309 0.796307 0.000000 -0.037916 2.440846 1.000000 1.000000
8.019059 1.588967 0.785317 0.000000 -0.071742 2.489673 1.000000 1.000000
7.852464 1.710174 0.767302 0.000000 -0.101019 2.534628 1.000000 1.000000
7.673761 1.828745 0.742705 0.000000 -0.125494 2.576113 1.000000 1.000000
7.483227 1.944496 0.712132 0.000000 -0.145077 2.614504 1.000000 1.000000
7.281153 2.057248 0.676336 0.000000 -0.159800 2.650137 1.000000 1.000000
7.067852 2.166829 0.636197 0.000000 -0.169781 2.683317 1.000000 1.000000
6.843654 2.273068 0.592705 0.000000 -0.175201 2.714315 1.000000 1.000000
6.608903 2.375803 0.546930 0.000000 -0.176288 2.743372 1.000000 1.000000
6.363961 2.474874 0.500000 0.000000 -0.173307 2.770701 1.000000 1.000000
6.109207 2.570129 0.453070 0.000000 -0.166557 2.796493 1.000000 1.000000
5.845032 2.661421 0.407295 0.000000 -0.156365 2.820914 1.000000 1.000000
5.571846 2.748609 0.363803 0.000000 -0.143092 2.844114 1.000000 1.000000
5.290067 2.831559 0.323664 0.000000 -0.127127 2.866226 1.000000 1.000000
5.000132 2.910144 0.287868 0.000000 -0.108891 2.887368 1.000000 1.000000
4.702487 2.984241 0.257295 0.000000 -0.088833 2.907645 1.000000 1.000000
4.397591 3.053736 0.232698 0.000000 -0.067426 2.927153 1.000000 1.000000
4.085914 3.118523 0.214683 0.000000 -0.045155 2.945978 1.000000 1.000000
3.767938 3.178501 0.203693 0.000000 -0.022516 2.964197 1.000000 1.000000
3.444151 3.233578 0.200000 0.000000 -0.000000 2.981882 1.000000 1.000000
3.115054 3.283670 0.203693 0.000000 0.021918 2.999096 1.000000 1.000000
2.781153 3.328698 0.214683 0.000000 0.042789 3.015901 1.000000 1.000000
2.442964 3.368593 0.232698 0.000000 0.062197 3.032351 1.000000 1.000000
2.101008 3.403295 0.257295 0.000000 0.079771 3.048499 1.000000 1.000000
1.755813 3.432748 0.287868 0.000000 0.095184 3.064392 1.000000 1.000000
1.407910 3.456909 0.323664 0.000000 0.108163 3.080076 1.000000 1.000000
1.057837 3.475740 0.363803 0.000000 0.118486 3.095597 1.000000 1.000000
0.706132 3.489211 0.407295 0.000000 0.125980 3.110996 1.000000 1.000000
0.353338 3.497302 0.453070 0.000000 0.130524 3.126314 1.000000 1.000000
0.000000 3.500000 0.500000 0.000000 0.132047 3.141593 1.000000 1.000000
-0.353338 3.497302 0.546930 0.000000 0.130524 -3.126314 1.000000 1.000000
-0.706132 3.489211 0.592705 0.000000 0.125980 -3.110996 1.000000 1.000000
-1.057837 3.475740 0.636197 0.000000 0.118486 -3.095597 1.000000 1.000000
-1.407910 3.456909 0.676336 0.000000 0.108163 -3.080076 1.000000 1.000000
-1.755813 3.432748 0.712132 0.000000 0.095184 -3.064392 1.000000 1.000000
-2.101008 3.403295 0.742705 0.000000 0.079771 -3.048499 1.000000 1.000000
-2.442964 3.368593 0.767302 0.000000 0.062197 -3.032351 1.000000 1.000000
-2.781153 3.328698 0.785317 0.000000 0.042789 -3.015901 1.000000 1.000000
-3.115054 3.283670 0.796307 0.000000 0.021918 -2.999096 1.000000 1.000000
-3.444151 3.233578 0.800000 0.000000 0.000000 -2.981882 1.000000 1.000000
-3.767938 3.178501 0.796307 0.000000 -0.022516 -2.964197 1.000000 1.000000
-4.085914 3.118523 0.785317 0.000000 -0.045155 -2.945978 1.000000 1.000000
-4.397591 3.053736 0.767302 0.000000 -0.067426 -2.927153 1.000000 1.000000
-4.702487 2.984241 0.742705 0.000000 -0.088833 -2.907645 1.000000 1.000000
-5.000132 2.910144 0.712132 0.000000 -0.108891 -2.887368 1.000000 1.000000
-5.290067 2.831559 0.676336 0.000000 -0.127127 -2.866226 1.000000 1.000000
-5.571846 2.748609 0.636197 0.000000 -0.143092 -2.844114 1.000000 1.000000
-5.845032 2.661421 0.592705 0.000000 -0.156365 -2.820914 1.000000 1.000000
-6.109207 2.570129 0.546930 0.000000 -0.166557 -2.796493 1.000000 1.000000
-6.363961 2.474874 0.500000 0.000000 -0.173307 -2.770701 1.000000 1.000000
-6.608903 2.375803 0.453070 0.000000 -0.176288 -2.743372 1.000000 1.000000
-6.843654 2.273068 0.407295 0.000000 -0.175201 -2.714315 1.000000 1.000000
-7.067852 2.166829 0.363803 0.000000 -0.169781 -2.683317 1.000000 1.000000
-7.281153 2.057248 0.323664 0.000000 -0.159800 -2.650137 1.000000 1.000000
-7.483227 1.944496 0.287868 0.000000 -0.145077 -2.614504 1.000000 1.000000
-7.673761 1.828745 0.257295 0.000000 -0.125494 -2.576113 1.000000 1.000000
-7.852464 1.710174 0.232698 0.000000 -0.101019 -2.534628 1.000000 1.000000
-8.019059 1.588967 0.214683 0.000000 -0.071742 -2.489673 1.000000 1.000000
-8.173289 1.465309 0.203693 0.000000 -0.037916 -2.440846 1.000000 1.000000
-8.314916 1.339392 0.200000 0.000000 -0.000000 -2.387718 1.000000 1.000000
-8.443722 1.211410 0.203693 0.000000 0.041292 -2.329849 1.000000 1.000000
-8.559509 1.081559 0.214683 0.000000 0.084955 -2.266817 1.000000 1.000000
-8.662097 0.950042 0.232698 0.000000 0.129685 -2.198247 1.000000 1.000000
-8.751329 0.817059 0.257295 0.000000 0.173900 -2.123872 1.000000 1.000000
-8.827068 0.682816 0.287868 0.000000 0.215808 -2.043593 1.000000 1.000000
-8.889195 0.547521 0.323664 0.000000 0.253515 -1.957558 1.000000 1.000000
-8.937616 0.411381 0.363803 0.000000 0.285169 -1.866238 1.000000 1.000000
-8.972256 0.274607 0.407295 0.000000 0.309114 -1.770475 1.000000 1.000000
-8.993061 0.137409 0.453070 0.000000 0.324043 -1.671486 1.000000 1.000000
-9.000000 0.000000 0.500000 0.000000 0.329115 -1.570796 1.000000 1.000000
-8.993061 -0.137409 0.546930 0.000000 0.324043 -1.470106 1.000000 1.000000
-8.972256 -0.274607 0.592705 0.000000 0.309114 -1.371117 1.000000 1.000000
-8.937616 -0.411381 0.636197 0.000000 0.285169 -1.275355 1.000000 1.000000
-8.889195 -0.547521 0.676336 0.000000 0.253515 -1.184035 1.000000 1.000000
-8.827068 -0.682816 0.712132 0.000000 0.215808 -1.098000 1.000000 1.000000
-8.751329 -0.817059 0.742705 0.000000 0.173900 -1.017720 1.000000 1.000000
-8.662097 -0.950042 0.767302 0.000000 0.129685 -0.943345 1.000000 1.000000
-8.559509 -1.081559 0.785317 0.000000 0.084955 -0.874776 1.000000 1.000000
-8.443722 -1.211410 0.796307 0.000000 0.041292 -0.811744 1.000000 1.000000
-8.314916 -1.339392 0.800000 0.000000 0.000000 -0.753875 1.000000 1.000000
-8.173289 -1.465309 0.796307 0.000000 -0.037916 -0.700746 1.000000 1.000000
-8.019059 -1.588967 0.785317 0.000000 -0.071742 -0.651919 1.000000 1.000000
-7.852464 -1.710174 0.767302 0.000000 -0.101019 -0.606965 1.000000 1.000000
-7.673761 -1.828745 0.742705 0.000000 -0.125494 -0.565479 1.000000 1.000000
-7.483227 -1.944496 0.712132 0.000000 -0.145077 -0.527089 1.000000 1.000000
-7.281153 -2.057248 0.676336 0.000000 -0.159800 -0.491456 1.000000 1.000000
-7.067852 -2.166829 0.636197 0.000000 -0.169781 -0.458276 1.000000 1.000000
-6.843654 -2.273068 0.592705 0.000000 -0.175201 -0.427278 1.000000 1.000000
-6.608903 -2.375803 0.546930 0.000000 -0.176288 -0.398221 1.000000 1.000000
-6.363961 -2.474874 0.500000 0.000000 -0.173307 -0.370891 1.000000 1.000000
-6.109207 -2.570129 0.453070 0.000000 -0.166557 -0.345100 1.000000 1.000000
-5.845032 -2.661421 0.407295 0.000000 -0.156365 -0.320678 1.000000 1.000000
-5.571846 -2.748609 0.363803 0.000000 -0.143092 -0.297478 1.000000 1.000000
-5.290067 -2.831559 0.323664 0.000000 -0.127127 -0.275366 1.000000 1.000000
-5.000132 -2.910144 0.287868 0.000000 -0.108891 -0.254225 1.000000 1.000000
-4.702487 -2.984241 0.257295 0.000000 -0.088833 -0.233948 1.000000 1.000000
-4.397591 -3.053736 0.232698 0.000000 -0.067426 -0.214440 1.000000 1.000000
-4.085914 -3.118523 0.214683 0.000000 -0.045155 -0.195615 1.000000 1.000000
-3.767938 -3.178501 0.203693 0.000000 -0.022516 -0.177396 1.000000 1.000000
-3.444151 -3.233578 0.200000 0.000000 -0.000000 -0.159711 1.000000 1.000000
-3.115054 -3.283670 0.203693 0.000000 0.021918 -0.142496 1.000000 1.000000
-2.781153 -3.328698 0.214683 0.000000 0.042789 -0.125692 1.000000 1.000000
