# x y z roll pitch yaw d_left d_right
7.000000 0.000000 0.400000 0.000000 0.040010 1.570796 1.000000 1.000000
6.994603 0.196148 0.407852 0.013694 0.040041 1.625917 1.000000 1.000000
6.978421 0.391086 0.415692 0.027303 0.040135 1.681638 1.000000 1.000000
6.951479 0.583613 0.423507 0.040744 0.040287 1.738563 1.000000 1.000000
6.913818 0.772542 0.431287 0.053934 0.040489 1.797298 1.000000 1.000000
6.865497 0.956709 0.439018 0.066791 0.040728 1.858449 1.000000 1.000000
6.806589 1.134976 0.446689 0.079236 0.040988 1.922610 1.000000 1.000000
6.737187 1.306246 0.454288 0.091193 0.041244 1.990350 1.000000 1.000000
6.657396 1.469463 0.461803 0.102588 0.041467 2.062179 1.000000 1.000000
6.567339 1.623620 0.469223 0.113350 0.041619 2.138501 1.000000 1.000000
6.467157 1.767767 0.476537 0.123413 0.041652 2.219562 1.000000 1.000000
6.357002 1.901015 0.483732 0.132716 0.041517 2.305372 1.000000 1.000000
6.237046 2.022542 0.490798 0.141200 0.041160 2.395633 1.000000 1.000000
6.107472 2.131600 0.497724 0.148814 0.040533 2.489684 1.000000 1.000000
5.968481 2.227516 0.504500 0.155510 0.039603 2.586487 1.000000 1.000000
5.820287 2.309699 0.511114 0.161247 0.038355 2.684664 1.000000 1.000000
5.663119 2.377641 0.517557 0.165991 0.036802 2.782618 1.000000 1.000000
5.497219 2.430925 0.523819 0.169711 0.034983 2.878690 1.000000 1.000000
5.322842 2.469221 0.529890 0.172384 0.032957 2.971338 1.000000 1.000000
5.140258 2.492293 0.535760 0.173995 0.030794 3.059282 1.000000 1.000000
4.949747 2.500000 0.541421 0.174533 0.028564 3.141593 1.000000 1.000000
4.751605 2.492293 0.546865 0.173995 0.026329 -3.065481 1.000000 1.000000
4.546136 2.469221 0.552081 0.172384 0.024139 -2.995801 1.000000 1.000000
4.333658 2.430925 0.557063 0.169711 0.022030 -2.932526 1.000000 1.000000
4.114497 2.377641 0.561803 0.165991 0.020025 -2.875438 1.000000 1.000000
3.888992 2.309699 0.566294 0.161247 0.018135 -2.824202 1.000000 1.000000
3.657490 2.227516 0.570528 0.155510 0.016365 -2.778419 1.000000 1.000000
3.420349 2.131600 0.574499 0.148814 0.014712 -2.737671 1.000000 1.000000
3.177933 2.022542 0.578201 0.141200 0.013170 -2.701543 1.000000 1.000000
2.930618 1.901015 0.581629 0.132716 0.011731 -2.669644 1.000000 1.000000
2.678784 1.767767 0.584776 0.123413 0.010386 -2.641618 1.000000 1.000000
2.422819 1.623620 0.587638 0.113350 0.009124 -2.617144 1.000000 1.000000
2.163119 1.469463 0.590211 0.102588 0.007935 -2.595940 1.000000 1.000000
1.900083 1.306246 0.592491 0.091193 0.006811 -2.577762 1.000000 1.000000
1.634118 1.134976 0.594474 0.079236 0.005741 -2.562402 1.000000 1.000000
1.365632 0.956709 0.596157 0.066791 0.004716 -2.549684 1.000000 1.000000
1.095041 0.772542 0.597538 0.053934 0.003729 -2.539466 1.000000 1.000000
0.822762 0.583613 0.598614 0.040744 0.002772 -2.531633 1.000000 1.000000
0.549214 0.391086 0.599383 0.027303 0.001836 -2.526099 1.000000 1.000000
0.274819 0.196148 0.599846 0.013694 0.000914 -2.522803 1.000000 1.000000
0.000000 0.000000 0.600000 0.000000 0.000000 -2.521708 1.000000 1.000000
-0.274819 -0.196148 0.599846 -0.013694 -0.000914 -2.522803 1.000000 1.000000
-0.549214 -0.391086 0.599383 -0.027303 -0.001836 -2.526099 1.000000 1.000000
-0.822762 -0.583613 0.598614 -0.040744 -0.002772 -2.531633 1.000000 1.000000
-1.095041 -0.772542 0.597538 -0.053934 -0.003729 -2.539466 1.000000 1.000000
-1.365632 -0.956709 0.596157 -0.066791 -0.004716 -2.549684 1.000000 1.000000
-1.634118 -1.134976 0.594474 -0.079236 -0.005741 -2.562402 1.000000 1.000000
-1.900083 -1.306246 0.592491 -0.091193 -0.006811 -2.577762 1.000000 1.000000
-2.163119 -1.469463 0.590211 -0.102588 -0.007935 -2.595940 1.000000 1.000000
-2.422819 -1.623620 0.587638 -0.113350 -0.009124 -2.617144 1.000000 1.000000
-2.678784 -1.767767 0.584776 -0.123413 -0.010386 -2.641618 1.000000 1.000000
-2.930618 -1.901015 0.581629 -0.132716 -0.011731 -2.669644 1.000000 1.000000
-3.177933 -2.022542 0.578201 -0.141200 -0.013170 -2.701543 1.000000 1.000000
-3.420349 -2.131600 0.574499 -0.148814 -0.014712 -2.737671 1.000000 1.000000
-3.657490 -2.227516 0.570528 -0.155510 -0.016365 -2.778419 1.000000 1.000000
-3.888992 -2.309699 0.566294 -0.161247 -0.018135 -2.824202 1.000000 1.000000
-4.114497 -2.377641 0.561803 -0.165991 -0.020025 -2.875438 1.000000 1.000000
-4.333658 -2.430925 0.557063 -0.169711 -0.022030 -2.932526 1.000000 1.000000
-4.546136 -2.469221 0.552081 -0.172384 -0.024139 -2.995801 1.000000 1.000000
-4.751605 -2.492293 0.546865 -0.173995 -0.026329 -3.065481 1.000000 1.000000
-4.949747 -2.500000 0.541421 -0.174533 -0.028564 3.141593 1.000000 1.000000
-5.140258 -2.492293 0.535760 -0.173995 -0.030794 3.059282 1.000000 1.000000
-5.322842 -2.469221 0.529890 -0.172384 -0.032957 2.971338 1.000000 1.000000
-5.497219 -2.430925 0.523819 -0.169711 -0.034983 2.878690 1.000000 1.000000
-5.663119 -2.377641 0.517557 -0.165991 -0.036802 2.782618 1.000000 1.000000
-5.820287 -2.309699 0.511114 -0.161247 -0.038355 2.684664 1.000000 1.000000
-5.968481 -2.227516 0.504500 -0.155510 -0.039603 2.586487 1.000000 1.000000
-6.107472 -2.131600 0.497724 -0.148814 -0.040533 2.489684 1.000000 1.000000
-6.237046 -2.022542 0.490798 -0.141200 -0.041160 2.395633 1.000000 1.000000
-6.357002 -1.901015 0.483732 -0.132716 -0.041517 2.305372 1.000000 1.000000
-6.467157 -1.767767 0.476537 -0.123413 -0.041652 2.219562 1.000000 1.000000
-6.567339 -1.623620 0.469223 -0.113350 -0.041619 2.138501 1.000000 1.000000
-6.657396 -1.469463 0.461803 -0.102588 -0.041467 2.062179 1.000000 1.000000
-6.737187 -1.306246 0.454288 -0.091193 -0.041244 1.990350 1.000000 1.000000
-6.806589 -1.134976 0.446689 -0.079236 -0.040988 1.922610 1.000000 1.000000
-6.865497 -0.956709 0.439018 -0.066791 -0.040728 1.858449 1.000000 1.000000
-6.913818 -0.772542 0.431287 -0.053934 -0.040489 1.797298 1.000000 1.000000
-6.951479 -0.583613 0.423507 -0.040744 -0.040287 1.738563 1.000000 1.000000
-6.978421 -0.391086 0.415692 -0.027303 -0.040135 1.681638 1.000000 1.000000
-6.994603 -0.196148 0.407852 -0.013694 -0.040041 1.625917 1.000000 1.000000
-7.000000 -0.000000 0.400000 -0.000000 -0.040010 1.570796 1.000000 1.000000
-6.994603 0.196148 0.392148 0.013694 -0.040041 1.515676 1.000000 1.000000
-6.978421 0.391086 0.384308 0.027303 -0.040135 1.459955 1.000000 1.000000
-6.951479 0.583613 0.376493 0.040744 -0.040287 1.403030 1.000000 1.000000
-6.913818 0.772542 0.368713 0.053934 -0.040489 1.344294 1.000000 1.000000
-6.865497 0.956709 0.360982 0.066791 -0.040728 1.283144 1.000000 1.000000
-6.806589 1.134976 0.353311 0.079236 -0.040988 1.218982 1.000000 1.000000
-6.737187 1.306246 0.345712 0.091193 -0.041244 1.151242 1.000000 1.000000
-6.657396 1.469463 0.338197 0.102588 -0.041467 1.079414 1.000000 1.000000
-6.567339 1.623620 0.330777 0.113350 -0.041619 1.003091 1.000000 1.000000
-6.467157 1.767767 0.323463 0.123413 -0.041652 0.922030 1.000000 1.000000
-6.357002 1.901015 0.316268 0.132716 -0.041517 0.836221 1.000000 1.000000
-6.237046 2.022542 0.309202 0.141200 -0.041160 0.745960 1.000000 1.000000
-6.107472 2.131600 0.302276 0.148814 -0.040533 0.651908 1.000000 1.000000
-5.968481 2.227516 0.295500 0.155510 -0.039603 0.555106 1.000000 1.000000
-5.820287 2.309699 0.288886 0.161247 -0.038355 0.456929 1.000000 1.000000
-5.663119 2.377641 0.282443 0.165991 -0.036802 0.358975 1.000000 1.000000
-5.497219 2.430925 0.276181 0.169711 -0.034983 0.262903 1.000000 1.000000
-5.322842 2.469221 0.270110 0.172384 -0.032957 0.170255 1.000000 1.000000
-5.140258 2.492293 0.264240 0.173995 -0.030794 0.082311 1.000000 1.000000
-4.949747 2.500000 0.258579 0.174533 -0.028564 0.000000 1.000000 1.000000
-4.751605 2.492293 0.253135 0.173995 -0.026329 -0.076112 1.000000 1.000000
-4.546136 2.469221 0.247919 0.172384 -0.024139 -0.145791 1.000000 1.000000
-4.333658 2.430925 0.242937 0.169711 -0.022030 -0.209067 1.000000 1.000000
-4.114497 2.377641 0.238197 0.165991 -0.020025 -0.266155 1.000000 1.000000
-3.888992 2.309699 0.233706 0.161247 -0.018135 -0.317391 1.000000 1.000000
-3.657490 2.227516 0.229472 0.155510 -0.016365 -0.363173 1.000000 1.000000
-3.420349 2.131600 0.225501 0.148814 -0.014712 -0.403922 1.000000 1.000000
-3.177933 2.022542 0.221799 0.141200 -0.013170 -0.440050 1.000000 1.000000
-2.930618 1.901015 0.218371 0.132716 -0.011731 -0.471948 1.000000 1.000000
-2.678784 1.767767 0.215224 0.123413 -0.010386 -0.499974 1.000000 1.000000
-2.422819 1.623620 0.212362 0.113350 -0.009124 -0.524448 1.000000 1.000000
-2.163119 1.469463 0.209789 0.102588 -0.007935 -0.545652 1.000000 1.000000
-1.900083 1.306246 0.207509 0.091193 -0.006811 -0.563831 1.000000 1.000000
-1.634118 1.134976 0.205526 0.079236 -0.005741 -0.579191 1.000000 1.000000
-1.365632 0.956709 0.203843 0.066791 -0.004716 -0.591909 1.000000 1.000000
-1.095041 0.772542 0.202462 0.053934 -0.003729 -0.602127 1.000000 1.000000
-0.822762 0.583613 0.201386 0.040744 -0.002772 -0.609960 1.000000 1.000000
-0.549214 0.391086 0.200617 0.027303 -0.001836 -0.615494 1.000000 1.000000
-0.274819 0.196148 0.200154 0.013694 -0.000914 -0.618790 1.000000 1.000000
-0.000000 0.000000 0.200000 0.000000 0.000000 -0.619885 1.000000 1.000000
0.274819 -0.196148 0.200154 -0.013694 0.000914 -0.618790 1.000000 1.000000
0.549214 -0.391086 0.200617 -0.027303 0.001836 -0.615494 1.000000 1.000000
0.822762 -0.583613 0.201386 -0.040744 0.002772 -0.609960 1.000000 1.000000
1.095041 -0.772542 0.202462 -0.053934 0.003729 -0.602127 1.000000 1.000000
1.365632 -0.956709 0.203843 -0.066791 0.004716 -0.591909 1.000000 1.000000
1.634118 -1.134976 0.205526 -0.079236 0.005741 -0.579191 1.000000 1.000000
1.900083 -1.306246 0.207509 -0.091193 0.006811 -0.563831 1.000000 1.000000
2.163119 -1.469463 0.209789 -0.102588 0.007935 -0.545652 1.000000 1.000000
2.422819 -1.623620 0.212362 -0.113350 0.009124 -0.524448 1.000000 1.000000
2.678784 -1.767767 0.215224 -0.123413 0.010386 -0.499974 1.000000 1.000000
2.930618 -1.901015 0.218371 -0.132716 0.011731 -0.471948 1.000000 1.000000
3.177933 -2.022542 0.221799 -0.141200 0.013170 -0.440050 1.000000 1.000000
3.420349 -2.131600 0.225501 -0.148814 0.014712 -0.403922 1.000000 1.000000
3.657490 -2.227516 0.229472 -0.155510 0.016365 -0.363173 1.000000 1.000000
3.888992 -2.309699 0.233706 -0.161247 0.018135 -0.317391 1.000000 1.000000
4.114497 -2.377641 0.238197 -0.165991 0.020025 -0.266155 1.000000 1.000000
4.333658 -2.430925 0.242937 -0.169711 0.022030 -0.209067 1.000000 1.000000
4.546136 -2.469221 0.247919 -0.172384 0.024139 -0.145791 1.000000 1.000000
4.751605 -2.492293 0.253135 -0.173995 0.026329 -0.076112 1.000000 1.000000
4.949747 -2.500000 0.258579 -0.174533 0.028564 0.000000 1.000000 1.000000
5.140258 -2.492293 0.264240 -0.173995 0.030794 0.082311 1.000000 1.000000
5.322842 -2.469221 0.270110 -0.172384 0.032957 0.170255 1.000000 1.000000
5.497219 -2.430925 0.276181 -0.169711 0.034983 0.262903 1.000000 1.000000
5.663119 -2.377641 0.282443 -0.165991 0.036802 0.358975 1.000000 1.000000
5.820287 -2.309699 0.288886 -0.161247 0.038355 0.456929 1.000000 1.000000
5.968481 -2.227516 0.295500 -0.155510 0.039603 0.555106 1.000000 1.000000
6.107472 -2.131600 0.302276 -0.148814 0.040533 0.651908 1.000000 1.000000
6.237046 -2.022542 0.309202 -0.141200 0.041160 0.745960 1.000000 1.000000
6.357002 -1.901015 0.316268 -0.132716 0.041517 0.836221 1.000000 1.000000
6.467157 -1.767767 0.323463 -0.123413 0.041652 0.922030 1.000000 1.000000
6.567339 -1.623620 0.330777 -0.113350 0.041619 1.003091 1.000000 1.000000
6.657396 -1.469463 0.338197 -0.102588 0.041467 1.079414 1.000000 1.000000
6.737187 -1.306246 0.345712 -0.091193 0.041244 1.151242 1.000000 1.000000
6.806589 -1.134976 0.353311 -0.079236 0.040988 1.218982 1.000000 1.000000
6.865497 -0.956709 0.360982 -0.066791 0.040728 1.283144 1.000000 1.000000
6.913818 -0.772542 0.368713 -0.053934 0.040489 1.344294 1.000000 1.000000
6.951479 -0.583613 0.376493 -0.040744 0.040287 1.403030 1.000000 1.000000
6.978421 -0.391086 0.384308 -0.027303 0.040135 1.459955 1.000000 1.000000
6.994603 -0.196148 0.392148 -0.013694 0.040041 1.515676 1.000000 1.000000
