# x y z roll pitch yaw d_left d_right
8.000000 0.000000 1.200000 0.000000 0.000000 1.570796 1.000000 1.000000
7.991945 0.179459 1.200000 0.000000 -0.000000 1.660376 1.000000 1.000000
7.967794 0.358557 1.200000 0.000000 -0.000000 1.748892 1.000000 1.000000
7.927598 0.536933 1.200000 0.000000 -0.000001 1.835364 1.000000 1.000000
7.871437 0.714228 1.200000 0.000000 -0.000001 1.918958 1.000000 1.000000
7.799423 0.890084 1.199999 0.000000 -0.000001 1.999032 1.000000 1.000000
7.711703 1.064147 1.199999 0.000000 -0.000002 2.075147 1.000000 1.000000
7.608452 1.236068 1.199999 0.000000 -0.000003 2.147059 1.000000 1.000000
7.489879 1.405499 1.199998 0.000000 -0.000004 2.214689 1.000000 1.000000
7.356222 1.572100 1.199997 0.000000 -0.000006 2.278094 1.000000 1.000000
7.207751 1.735535 1.199995 0.000000 -0.000008 2.337425 1.000000 1.000000
7.044764 1.895475 1.199993 0.000000 -0.000012 2.392901 1.000000 1.000000
6.867590 2.051597 1.199990 0.000000 -0.000017 2.444777 1.000000 1.000000
6.676586 2.203588 1.199985 0.000000 -0.000023 2.493329 1.000000 1.000000
6.472136 2.351141 1.199979 0.000000 -0.000032 2.538836 1.000000 1.000000
6.254652 2.493959 1.199969 0.000000 -0.000044 2.581571 1.000000 1.000000
6.024572 2.631755 1.199955 0.000000 -0.000061 2.621793 1.000000 1.000000
5.782359 2.764251 1.199936 0.000000 -0.000083 2.659747 1.000000 1.000000
5.528501 2.891179 1.199909 0.000000 -0.000113 2.695660 1.000000 1.000000
5.263510 3.012286 1.199871 0.000000 -0.000152 2.729739 1.000000 1.000000
4.987918 3.127326 1.199819 0.000000 -0.000205 2.762176 1.000000 1.000000
4.702282 3.236068 1.199747 0.000000 -0.000273 2.793144 1.000000 1.000000
4.407176 3.338293 1.199650 0.000000 -0.000363 2.822803 1.000000 1.000000
4.103194 3.433795 1.199519 0.000000 -0.000479 2.851296 1.000000 1.000000
3.790949 3.522382 1.199342 0.000000 -0.000629 2.878756 1.000000 1.000000
3.471070 3.603875 1.199107 0.000000 -0.000821 2.905303 1.000000 1.000000
3.144200 3.678111 1.198796 0.000000 -0.001066 2.931050 1.000000 1.000000
2.810999 3.744939 1.198388 0.000000 -0.001376 2.956097 1.000000 1.000000
2.472136 3.804226 1.197856 0.000000 -0.001766 2.980540 1.000000 1.000000
2.128295 3.855851 1.197167 0.000000 -0.002254 3.004467 1.000000 1.000000
1.780167 3.899712 1.196281 0.000000 -0.002860 3.027963 1.000000 1.000000
1.428455 3.935718 1.195152 0.000000 -0.003609 3.051104 1.000000 1.000000
1.073866 3.963799 1.193722 0.000000 -0.004527 3.073966 1.000000 1.000000
0.717114 3.983897 1.191924 0.000000 -0.005645 3.096622 1.000000 1.000000
0.358919 3.995972 1.189682 0.000000 -0.006998 3.119141 1.000000 1.000000
0.000000 4.000000 1.186904 0.000000 -0.008624 3.141593 1.000000 1.000000
-0.358919 3.995972 1.183491 0.000000 -0.010563 -3.119141 1.000000 1.000000
-0.717114 3.983897 1.179327 0.000000 -0.012861 -3.096622 1.000000 1.000000
-1.073866 3.963799 1.174286 0.000000 -0.015563 -3.073966 1.000000 1.000000
-1.428455 3.935718 1.168230 0.000000 -0.018717 -3.051104 1.000000 1.000000
-1.780167 3.899712 1.161010 0.000000 -0.022371 -3.027963 1.000000 1.000000
-2.128295 3.855851 1.152470 0.000000 -0.026569 -3.004467 1.000000 1.000000
-2.472136 3.804226 1.142446 0.000000 -0.031355 -2.980540 1.000000 1.000000
-2.810999 3.744939 1.130776 0.000000 -0.036765 -2.956097 1.000000 1.000000
-3.144200 3.678111 1.117295 0.000000 -0.042826 -2.931050 1.000000 1.000000
-3.471070 3.603875 1.101852 0.000000 -0.049555 -2.905303 1.000000 1.000000
-3.790949 3.522382 1.084303 0.000000 -0.056953 -2.878756 1.000000 1.000000
-4.103194 3.433795 1.064529 0.000000 -0.065004 -2.851296 1.000000 1.000000
-4.407176 3.338293 1.042438 0.000000 -0.073668 -2.822803 1.000000 1.000000
-4.702282 3.236068 1.017970 0.000000 -0.082882 -2.793144 1.000000 1.000000
-4.987918 3.127326 0.991110 0.000000 -0.092552 -2.762176 1.000000 1.000000
-5.263510 3.012286 0.961890 0.000000 -0.102553 -2.729739 1.000000 1.000000
-5.528501 2.891179 0.930400 0.000000 -0.112726 -2.695660 1.000000 1.000000
-5.782359 2.764251 0.896787 0.000000 -0.122874 -2.659747 1.000000 1.000000
-6.024572 2.631755 0.861265 0.000000 -0.132762 -2.621793 1.000000 1.000000
-6.254652 2.493959 0.824114 0.000000 -0.142118 -2.581571 1.000000 1.000000
-6.472136 2.351141 0.785680 0.000000 -0.150633 -2.538836 1.000000 1.000000
-6.676586 2.203588 0.746372 0.000000 -0.157961 -2.493329 1.000000 1.000000
-6.867590 2.051597 0.706658 0.000000 -0.163728 -2.444777 1.000000 1.000000
-7.044764 1.895475 0.667057 0.000000 -0.167534 -2.392901 1.000000 1.000000
-7.207751 1.735535 0.628130 0.000000 -0.168965 -2.337425 1.000000 1.000000
-7.356222 1.572100 0.590466 0.000000 -0.167605 -2.278094 1.000000 1.000000
-7.489879 1.405499 0.554669 0.000000 -0.163059 -2.214689 1.000000 1.000000
-7.608452 1.236068 0.521341 0.000000 -0.154978 -2.147059 1.000000 1.000000
-7.711703 1.064147 0.491068 0.000000 -0.143101 -2.075147 1.000000 1.000000
-7.799423 0.890084 0.464400 0.000000 -0.127298 -1.999032 1.000000 1.000000
-7.871437 0.714228 0.441836 0.000000 -0.107626 -1.918958 1.000000 1.000000
-7.927598 0.536933 0.423809 0.000000 -0.084375 -1.835364 1.000000 1.000000
-7.967794 0.358557 0.410671 0.000000 -0.058103 -1.748892 1.000000 1.000000
-7.991945 0.179459 0.402681 0.000000 -0.029632 -1.660376 1.000000 1.000000
