# x y z roll pitch yaw d_left d_right
-10.216547 10.802809 0.000000 0.000000 0.000000 -1.580209 1.666267 1.437555
-10.214206 10.313135 0.000000 0.000000 0.000000 -1.566799 1.562004 1.576823
-10.212354 9.753887 0.000000 0.000000 0.000000 -1.567822 1.522242 1.694216
-10.210697 9.133561 0.000000 0.000000 0.000000 -1.568155 1.516293 1.782623
-10.208939 8.460654 0.000000 0.000000 0.000000 -1.567982 1.536168 1.839906
-10.206785 7.743665 0.000000 0.000000 0.000000 -1.567394 1.591818 1.868306
-10.203939 6.991089 0.000000 0.000000 0.000000 -1.566439 1.670404 1.872338
-10.200107 6.211425 0.000000 0.000000 0.000000 -1.565127 1.759747 1.857774
-10.194994 5.413168 0.000000 0.000000 0.000000 -1.563449 1.847999 1.831136
-10.188303 4.604818 0.000000 0.000000 0.000000 -1.561371 1.871571 1.799406
-10.179740 3.794870 0.000000 0.000000 0.000000 -1.558836 1.864713 1.769871
-10.169010 2.991822 0.000000 0.000000 0.000000 -1.555863 1.833424 1.749995
-10.155973 2.203430 0.000000 0.000000 0.000000 -1.553487 1.773477 1.747060
-10.141980 1.430400 0.000000 0.000000 0.000000 -1.553345 1.652513 1.765498
-10.129202 0.669530 0.000000 0.000000 0.000000 -1.556152 1.526199 1.806046
-10.119824 -0.082421 0.000000 0.000000 0.000000 -1.562003 1.399867 1.826119
-10.116028 -0.828696 0.000000 0.000000 0.000000 -1.570911 1.279151 1.876727
-10.119995 -1.572537 0.000000 0.000000 0.000000 -1.582809 1.169878 1.947755
-10.133909 -2.317186 0.000000 0.000000 0.000000 -1.597546 1.077913 2.028255
-10.159951 -3.065886 0.000000 0.000000 0.000000 -1.614894 1.008925 2.107651
-10.200305 -3.821878 0.000000 0.000000 0.000000 -1.634552 0.968113 2.175477
-10.257152 -4.588404 0.000000 0.000000 0.000000 -1.656164 0.960280 2.221230
-10.332675 -5.368707 0.000000 0.000000 0.000000 -1.679306 0.991190 2.234326
-10.429010 -6.165989 0.000000 0.000000 0.000000 -1.700591 1.067714 2.204335
-10.542833 -6.978760 0.000000 0.000000 0.000000 -1.711723 1.190840 2.130824
-10.660328 -7.796516 0.000000 0.000000 0.000000 -1.707242 1.332071 2.028388
-10.766487 -8.607728 0.000000 0.000000 0.000000 -1.686202 1.508010 1.913387
-10.846305 -9.400867 0.000000 0.000000 0.000000 -1.646637 1.706574 1.803302
-10.884774 -10.164404 0.000000 0.000000 0.000000 -1.584647 1.898419 1.717719
-10.866887 -10.886811 0.000000 0.000000 0.000000 -1.493990 2.062764 1.679172
-10.777638 -11.556560 0.000000 0.000000 0.000000 -1.366018 2.200181 1.706049
-10.602018 -12.162123 0.000000 0.000000 0.000000 -1.191469 2.343904 1.782224
-10.325025 -12.691971 0.000000 0.000000 0.000000 -0.973022 2.380879 1.661466
-9.937487 -13.138121 0.000000 0.000000 0.000000 -0.747118 2.426909 1.375466
-9.448598 -13.503742 0.000000 0.000000 0.000000 -0.551567 2.378564 1.131901
-8.871157 -13.794194 0.000000 0.000000 0.000000 -0.393634 2.351002 0.956398
-8.217963 -14.014836 0.000000 0.000000 0.000000 -0.268544 2.307334 0.850445
-7.501815 -14.171026 0.000000 0.000000 0.000000 -0.169223 2.268019 0.800552
-6.735512 -14.268124 0.000000 0.000000 0.000000 -0.089231 2.199251 0.794891
-5.931853 -14.311488 0.000000 0.000000 0.000000 -0.023498 2.111899 0.823660
-5.103636 -14.306477 0.000000 0.000000 0.000000 0.031782 2.017001 0.878233
-4.263661 -14.258451 0.000000 0.000000 0.000000 0.079473 1.924104 0.950213
-3.424727 -14.172768 0.000000 0.000000 0.000000 0.122048 1.840173 1.031213
-2.597921 -14.054136 0.000000 0.000000 0.000000 0.162481 1.768204 1.114321
-1.786234 -13.904176 0.000000 0.000000 0.000000 0.202776 1.706440 1.198217
-0.990266 -13.723599 0.000000 0.000000 0.000000 0.243279 1.652365 1.283207
-0.210614 -13.513115 0.000000 0.000000 0.000000 0.283973 1.603803 1.369430
0.552120 -13.273436 0.000000 0.000000 0.000000 0.324846 1.558956 1.456695
1.297340 -13.005272 0.000000 0.000000 0.000000 0.365886 1.516409 1.543158
2.024445 -12.709333 0.000000 0.000000 0.000000 0.407084 1.475113 1.618520
2.732836 -12.386331 0.000000 0.000000 0.000000 0.448434 1.434361 1.690415
3.421915 -12.036975 0.000000 0.000000 0.000000 0.489932 1.393746 1.758778
4.091082 -11.661977 0.000000 0.000000 0.000000 0.531576 1.353126 1.823790
4.739739 -11.262046 0.000000 0.000000 0.000000 0.573367 1.312593 1.885624
5.367286 -10.837895 0.000000 0.000000 0.000000 0.615306 1.272437 1.944449
5.973125 -10.390232 0.000000 0.000000 0.000000 0.657397 1.233123 2.000427
6.556656 -9.919770 0.000000 0.000000 0.000000 0.699645 1.195266 2.053712
7.117280 -9.427218 0.000000 0.000000 0.000000 0.742055 1.159617 2.104449
7.654399 -8.913287 0.000000 0.000000 0.000000 0.784634 1.127037 2.152772
8.167413 -8.378688 0.000000 0.000000 0.000000 0.827388 1.098483 2.198807
8.655724 -7.824131 0.000000 0.000000 0.000000 0.870323 1.074990 2.242668
9.118732 -7.250327 0.000000 0.000000 0.000000 0.913443 1.057638 2.284459
9.555838 -6.657987 0.000000 0.000000 0.000000 0.956753 1.047530 2.324272
9.966443 -6.047821 0.000000 0.000000 0.000000 1.000254 1.045754 2.350789
10.349949 -5.420540 0.000000 0.000000 0.000000 1.043947 1.053354 2.365603
10.705755 -4.776855 0.000000 0.000000 0.000000 1.087827 1.071222 2.378587
