# x y z roll pitch yaw d_left d_right
-8.105125 9.588353 0.000000 0.000000 0.000000 -2.117741 1.301171 0.799206
-8.212412 9.386272 0.000000 0.000000 0.000000 -2.004448 1.278784 0.831866
-8.300813 9.165745 0.000000 0.000000 0.000000 -1.905058 1.246173 0.868134
-8.371548 8.928055 0.000000 0.000000 0.000000 -1.820005 1.201684 0.893900
-8.425838 8.674485 0.000000 0.000000 0.000000 -1.747856 1.157782 0.916829
-8.464904 8.406318 0.000000 0.000000 0.000000 -1.686942 1.115518 0.937446
-8.489966 8.124837 0.000000 0.000000 0.000000 -1.635648 1.075999 0.955479
-8.502246 7.831326 0.000000 0.000000 0.000000 -1.592534 1.040355 0.970820
-8.502962 7.527068 0.000000 0.000000 0.000000 -1.556382 1.009680 0.983470
-8.493337 7.213346 0.000000 0.000000 0.000000 -1.526191 0.984960 0.985483
-8.474591 6.891443 0.000000 0.000000 0.000000 -1.501150 0.966991 0.984748
-8.447945 6.562643 0.000000 0.000000 0.000000 -1.480615 0.956291 0.982792
-8.414619 6.228228 0.000000 0.000000 0.000000 -1.464080 0.953039 0.979976
-8.375834 5.889482 0.000000 0.000000 0.000000 -1.451159 0.957043 0.976676
-8.332810 5.547687 0.000000 0.000000 0.000000 -1.441566 0.967759 0.973287
-8.286768 5.204128 0.000000 0.000000 0.000000 -1.435102 0.974981 0.970223
-8.238930 4.860088 0.000000 0.000000 0.000000 -1.431651 0.981976 0.967919
-8.190515 4.516849 0.000000 0.000000 0.000000 -1.431169 0.993152 0.966837
-8.142744 4.175695 0.000000 0.000000 0.000000 -1.433687 1.007748 0.967483
-8.096838 3.837908 0.000000 0.000000 0.000000 -1.439314 1.024922 0.970408
-8.054018 3.504773 0.000000 0.000000 0.000000 -1.448242 1.043825 0.976228
-8.015504 3.177573 0.000000 0.000000 0.000000 -1.460699 1.059553 0.971828
-7.982466 2.857506 0.000000 0.000000 0.000000 -1.476096 1.068769 0.966721
-7.955384 2.544629 0.000000 0.000000 0.000000 -1.493073 1.078286 0.964510
-7.934231 2.238160 0.000000 0.000000 0.000000 -1.510912 1.086735 0.967265
-7.918971 1.937300 0.000000 0.000000 0.000000 -1.529498 1.092893 0.976813
-7.909566 1.641247 0.000000 0.000000 0.000000 -1.548707 1.095720 0.992963
-7.905978 1.349204 0.000000 0.000000 0.000000 -1.568395 1.095160 0.989836
-7.908171 1.060369 0.000000 0.000000 0.000000 -1.588402 1.081987 0.994464
-7.916107 0.773942 0.000000 0.000000 0.000000 -1.608552 1.066771 1.006049
-7.929749 0.489125 0.000000 0.000000 0.000000 -1.628662 1.050327 1.023586
-7.949059 0.205116 0.000000 0.000000 0.000000 -1.648546 1.033115 1.034798
-7.974001 -0.078884 0.000000 0.000000 0.000000 -1.668024 1.015625 1.038054
-8.004536 -0.363674 0.000000 0.000000 0.000000 -1.686923 0.998387 1.045924
-8.040628 -0.650055 0.000000 0.000000 0.000000 -1.705084 0.981998 1.057236
-8.082240 -0.938827 0.000000 0.000000 0.000000 -1.722372 0.961384 1.070730
-8.129334 -1.230789 0.000000 0.000000 0.000000 -1.738669 0.938649 1.085111
-8.181872 -1.526742 0.000000 0.000000 0.000000 -1.753884 0.917990 1.087296
-8.239818 -1.827484 0.000000 0.000000 0.000000 -1.767950 0.900342 1.089373
-8.303135 -2.133817 0.000000 0.000000 0.000000 -1.780825 0.886918 1.091582
-8.371784 -2.446540 0.000000 0.000000 0.000000 -1.792206 0.879252 1.092939
-8.445455 -2.766070 0.000000 0.000000 0.000000 -1.801036 0.870893 1.092746
-8.522994 -3.091644 0.000000 0.000000 0.000000 -1.806546 0.859582 1.090957
-8.603086 -3.422277 0.000000 0.000000 0.000000 -1.808816 0.856202 1.087740
-8.684416 -3.756978 0.000000 0.000000 0.000000 -1.808009 0.861658 1.083314
-8.765669 -4.094762 0.000000 0.000000 0.000000 -1.804212 0.871126 1.077887
-8.845529 -4.434640 0.000000 0.000000 0.000000 -1.797443 0.873837 1.071616
-8.922682 -4.775624 0.000000 0.000000 0.000000 -1.787659 0.885721 1.059354
-8.995811 -5.116726 0.000000 0.000000 0.000000 -1.774751 0.905941 1.040548
-9.063603 -5.456960 0.000000 0.000000 0.000000 -1.758550 0.933030 1.020658
-9.124741 -5.795336 0.000000 0.000000 0.000000 -1.738817 0.956047 0.999965
-9.177911 -6.130867 0.000000 0.000000 0.000000 -1.715244 0.979809 0.978743
-9.221797 -6.462566 0.000000 0.000000 0.000000 -1.687446 1.007633 0.957315
-9.255084 -6.789444 0.000000 0.000000 0.000000 -1.654956 1.038075 0.936080
-9.276457 -7.110514 0.000000 0.000000 0.000000 -1.617221 1.069904 0.915521
-9.284601 -7.424788 0.000000 0.000000 0.000000 -1.573604 1.102087 0.896208
-9.278200 -7.731279 0.000000 0.000000 0.000000 -1.523396 1.133769 0.878807
-9.255939 -8.028998 0.000000 0.000000 0.000000 -1.465842 1.164240 0.864069
-9.216504 -8.316957 0.000000 0.000000 0.000000 -1.400203 1.192916 0.852830
-9.158578 -8.594170 0.000000 0.000000 0.000000 -1.325846 1.219311 0.845985
-9.080847 -8.859648 0.000000 0.000000 0.000000 -1.242395 1.229828 0.844458
-8.981996 -9.112403 0.000000 0.000000 0.000000 -1.150056 1.235069 0.849157
-8.860775 -9.351473 0.000000 0.000000 0.000000 -1.052289 1.235239 0.858127
-8.717243 -9.576407 0.000000 0.000000 0.000000 -0.955326 1.231596 0.869231
-8.552660 -9.787223 0.000000 0.000000 0.000000 -0.862749 1.213757 0.883690
-8.368326 -9.983954 0.000000 0.000000 0.000000 -0.775353 1.188162 0.901058
-8.165546 -10.166636 0.000000 0.000000 0.000000 -0.693473 1.161741 0.920935
-7.945623 -10.335302 0.000000 0.000000 0.000000 -0.617132 1.134952 0.942842
-7.709859 -10.489987 0.000000 0.000000 0.000000 -0.546122 1.107643 0.966241
-7.459556 -10.630725 0.000000 0.000000 0.000000 -0.480082 1.069163 0.990549
-7.196019 -10.757551 0.000000 0.000000 0.000000 -0.418558 1.032945 1.015156
-6.920549 -10.870499 0.000000 0.000000 0.000000 -0.361055 0.999602 1.039435
-6.634449 -10.969604 0.000000 0.000000 0.000000 -0.307068 0.969768 1.062754
-6.339023 -11.054899 0.000000 0.000000 0.000000 -0.256103 0.944087 1.084482
-6.035574 -11.126421 0.000000 0.000000 0.000000 -0.207682 0.923197 1.100711
-5.725403 -11.184202 0.000000 0.000000 0.000000 -0.161358 0.907673 1.107477
-5.409814 -11.228278 0.000000 0.000000 0.000000 -0.116705 0.897577 1.110580
-5.090110 -11.258682 0.000000 0.000000 0.000000 -0.073320 0.892587 1.110268
-4.767593 -11.275450 0.000000 0.000000 0.000000 -0.030820 0.892293 1.106850
-4.443567 -11.278615 0.000000 0.000000 0.000000 0.011164 0.896218 1.100673
-4.119335 -11.268212 0.000000 0.000000 0.000000 0.052994 0.903828 1.092120
-3.796198 -11.244276 0.000000 0.000000 0.000000 0.095029 0.914554 1.081614
-3.475460 -11.206841 0.000000 0.000000 0.000000 0.137630 0.927810 1.069613
-3.158425 -11.155941 0.000000 0.000000 0.000000 0.181168 0.943002 1.056620
